"dgp","method","n","B","truth","n_ok","cov_90","cov_95","cov_99","mean_width_95","mean_z","sd_z","mean_se","mc_sd_est"
"A","ipw",500,50,0.843045749937839,50,0.9,0.98,1,0.0563652523970884,0.148421037393635,0.976029400727077,0.0143791551379746,0.0139051882429789
"A","fiml",500,50,0.843045749937839,50,0.96,0.98,1,0.229970554463114,-0.393550795522143,0.535696913016963,0.0586670357917524,0.0161523576594937
"A","ipw",2000,50,0.843045749937839,50,0.92,0.96,0.98,0.0280478533657707,0.0186186237529343,0.93199199997114,0.00715519611253284,0.00668975703542144
"A","fiml",2000,50,0.843045749937839,50,1,1,1,0.212248562931339,-0.183985097996545,0.173391088851683,0.0541460365102444,0.00686362276315999
"A","ipw",8000,50,0.843045749937839,50,0.94,0.96,1,0.014022649128027,0.0434105211805002,0.906985073167006,0.00357727214342607,0.00323781251280112
"A","fiml",8000,50,0.843045749937839,50,1,1,1,0.120006931153512,-0.138889986514234,0.277469315023207,0.0306145755993763,0.00328783856706071
"B","ipw",500,50,0.694887512467808,50,0.86,0.92,1,0.118718119400066,0.0217977553192378,1.06507782716695,0.0302857910493507,0.0320918466419988
"B","fiml",500,50,0.694887512467808,50,0.98,0.98,1,0.147739980254518,-0.233923799110743,0.853075696962026,0.037689463025819,0.030063856854512
"B","ipw",2000,50,0.694887512467808,50,0.86,0.96,1,0.059008826760001,-0.0508344069762613,1.00108301466262,0.0150535487451441,0.015067288564667
"B","fiml",2000,50,0.694887512467808,50,1,1,1,0.141918910188313,-0.426260861302217,0.448698988049022,0.0362044688850795,0.014865662652191
"B","ipw",8000,50,0.694887512467808,50,0.9,0.92,1,0.0295715177115764,-0.263145969186518,1.04259130148639,0.00754389313906601,0.00787097533070042
"B","fiml",8000,50,0.694887512467808,50,0.98,1,1,0.0809629698885563,-0.353087727950046,0.490161508210607,0.0206541983748635,0.0070860282709428
"C","ipw",500,50,0.669554550836491,50,0,0,0,0.063238005205149,7.07283141388443,1.36850945020384,0.0161324406223692,0.0172143833703561
"C","fiml",500,50,0.669554550836491,50,0.92,0.94,0.96,0.0952254636022033,0.516484761153882,0.927211153985748,0.0242926564858665,0.0208935281895985
"C","ipw",2000,50,0.669554550836491,50,0,0,0,0.0313827633208471,14.6316784711886,1.48289125323684,0.00800595408088883,0.00956017040549883
"C","fiml",2000,50,0.669554550836491,50,0.06,0.08,0.32,0.0432073435903876,3.11130922428022,1.07624935419007,0.0110224840688915,0.0114872960600115
"C","ipw",8000,50,0.669554550836491,50,0,0,0,0.0157015742923664,29.0305003397723,1.19099627543488,0.00400557724943377,0.00393247026113728
"C","fiml",8000,50,0.669554550836491,50,0,0,0,0.0199331713186477,7.72188934824151,1.0717436090549,0.00508508612297929,0.00518510479843474
