"model_family","dgp","dgp_name","n","rep","seed","method","coefficient","estimate","truth","error"
"guess","A","Exchangeable + MCAR",120,1,210201,"available","Conger",0.830032759481676,0.845614275789659,""
"guess","A","Exchangeable + MCAR",120,1,210201,"available","Fleiss",0.829869176035156,0.845608887023708,""
"guess","A","Exchangeable + MCAR",120,1,210201,"available","Brennan-Prediger",0.833806818181818,0.849444444444444,""
"guess","A","Exchangeable + MCAR",120,1,210201,"ipw","Conger",0.834531941073698,0.845614275789659,""
"guess","A","Exchangeable + MCAR",120,1,210201,"ipw","Fleiss",0.834348344028265,0.845608887023708,""
"guess","A","Exchangeable + MCAR",120,1,210201,"ipw","Brennan-Prediger",0.838136696316303,0.849444444444444,""
"guess","A","Exchangeable + MCAR",120,1,210201,"fiml","Conger",0.767950833762088,0.845614275789659,""
"guess","A","Exchangeable + MCAR",120,1,210201,"fiml","Fleiss",0.767822880390328,0.845608887023708,""
"guess","A","Exchangeable + MCAR",120,1,210201,"fiml","Brennan-Prediger",0.773592877285515,0.849444444444444,""
"guess","A","Exchangeable + MCAR",120,1,210201,"gwet","Conger",0.830105634962335,0.845614275789659,""
"guess","A","Exchangeable + MCAR",120,1,210201,"gwet","Fleiss",0.829917126656508,0.845608887023708,""
"guess","A","Exchangeable + MCAR",120,1,210201,"gwet","Brennan-Prediger",0.833806818181818,0.849444444444444,""
"guess","A","Exchangeable + MCAR",120,2,210202,"available","Conger",0.869693698783622,0.845614275789659,""
"guess","A","Exchangeable + MCAR",120,2,210202,"available","Fleiss",0.8695674285251,0.845608887023708,""
"guess","A","Exchangeable + MCAR",120,2,210202,"available","Brennan-Prediger",0.874183006535948,0.849444444444444,""
"guess","A","Exchangeable + MCAR",120,2,210202,"ipw","Conger",0.859595539023173,0.845614275789659,""
"guess","A","Exchangeable + MCAR",120,2,210202,"ipw","Fleiss",0.859331891737749,0.845608887023708,""
"guess","A","Exchangeable + MCAR",120,2,210202,"ipw","Brennan-Prediger",0.864331332087162,0.849444444444444,""
"guess","A","Exchangeable + MCAR",120,2,210202,"fiml","Conger",0.829844250748377,0.845614275789659,""
"guess","A","Exchangeable + MCAR",120,2,210202,"fiml","Fleiss",0.829755838413103,0.845608887023708,""
"guess","A","Exchangeable + MCAR",120,2,210202,"fiml","Brennan-Prediger",0.834641517172115,0.849444444444444,""
"guess","A","Exchangeable + MCAR",120,2,210202,"gwet","Conger",0.869791106371042,0.845614275789659,""
"guess","A","Exchangeable + MCAR",120,2,210202,"gwet","Fleiss",0.869546604016169,0.845608887023708,""
"guess","A","Exchangeable + MCAR",120,2,210202,"gwet","Brennan-Prediger",0.874183006535948,0.849444444444444,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"available","Conger",0.799403559403559,0.699201563859258,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"available","Fleiss",0.799347496102148,0.699166080918589,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"available","Brennan-Prediger",0.806547619047619,0.704930555555556,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"ipw","Conger",0.669517810369574,0.699201563859258,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"ipw","Fleiss",0.668797818880072,0.699166080918589,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"ipw","Brennan-Prediger",0.683440162515382,0.704930555555556,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"fiml","Conger",0.619144954176584,0.699201563859258,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"fiml","Fleiss",0.618309414407616,0.699166080918589,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"fiml","Brennan-Prediger",0.628310944975847,0.704930555555556,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"gwet","Conger",0.798039552476493,0.699201563859258,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"gwet","Fleiss",0.797599559617587,0.699166080918589,""
"guess","B","Non-exchangeable + MCAR",120,1,220201,"gwet","Brennan-Prediger",0.806547619047619,0.704930555555556,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"available","Conger",0.805690696567755,0.699201563859258,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"available","Fleiss",0.805509766033831,0.699166080918589,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"available","Brennan-Prediger",0.81437969924812,0.704930555555556,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"ipw","Conger",0.720731482333167,0.699201563859258,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"ipw","Fleiss",0.72008712237968,0.699166080918589,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"ipw","Brennan-Prediger",0.732744922613477,0.704930555555556,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"fiml","Conger",0.703139455894553,0.699201563859258,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"fiml","Fleiss",0.702519538890528,0.699166080918589,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"fiml","Brennan-Prediger",0.713653318642547,0.704930555555556,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"gwet","Conger",0.806035841313961,0.699201563859258,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"gwet","Fleiss",0.805588305238956,0.699166080918589,""
"guess","B","Non-exchangeable + MCAR",120,2,220202,"gwet","Brennan-Prediger",0.81437969924812,0.704930555555556,""
"guess","C","Difficulty + MAR",120,1,230201,"available","Conger",0.760420592014821,0.675256273769057,""
"guess","C","Difficulty + MAR",120,1,230201,"available","Fleiss",0.760231340754643,0.675232173345061,""
"guess","C","Difficulty + MAR",120,1,230201,"available","Brennan-Prediger",0.766558089033659,0.678333333333333,""
"guess","C","Difficulty + MAR",120,1,230201,"ipw","Conger",0.760822185870109,0.675256273769057,""
"guess","C","Difficulty + MAR",120,1,230201,"ipw","Fleiss",0.760620519332239,0.675232173345061,""
"guess","C","Difficulty + MAR",120,1,230201,"ipw","Brennan-Prediger",0.767012408739066,0.678333333333333,""
"guess","C","Difficulty + MAR",120,1,230201,"fiml","Conger",0.621441676132567,0.675256273769057,""
"guess","C","Difficulty + MAR",120,1,230201,"fiml","Fleiss",0.621194275841077,0.675232173345061,""
"guess","C","Difficulty + MAR",120,1,230201,"fiml","Brennan-Prediger",0.622601303997267,0.678333333333333,""
"guess","C","Difficulty + MAR",120,1,230201,"gwet","Conger",0.760355795392113,0.675256273769057,""
"guess","C","Difficulty + MAR",120,1,230201,"gwet","Fleiss",0.760153735609772,0.675232173345061,""
"guess","C","Difficulty + MAR",120,1,230201,"gwet","Brennan-Prediger",0.766558089033659,0.678333333333333,""
"guess","C","Difficulty + MAR",120,2,230202,"available","Conger",0.723582845029904,0.675256273769057,""
"guess","C","Difficulty + MAR",120,2,230202,"available","Fleiss",0.723256926301491,0.675232173345061,""
"guess","C","Difficulty + MAR",120,2,230202,"available","Brennan-Prediger",0.731137387387387,0.678333333333333,""
"guess","C","Difficulty + MAR",120,2,230202,"ipw","Conger",0.724384963085054,0.675256273769057,""
"guess","C","Difficulty + MAR",120,2,230202,"ipw","Fleiss",0.724050883409461,0.675232173345061,""
"guess","C","Difficulty + MAR",120,2,230202,"ipw","Brennan-Prediger",0.731944716101356,0.678333333333333,""
"guess","C","Difficulty + MAR",120,2,230202,"fiml","Conger",0.596889074851426,0.675256273769057,""
"guess","C","Difficulty + MAR",120,2,230202,"fiml","Fleiss",0.596258426491035,0.675232173345061,""
"guess","C","Difficulty + MAR",120,2,230202,"fiml","Brennan-Prediger",0.604889022248943,0.678333333333333,""
"guess","C","Difficulty + MAR",120,2,230202,"gwet","Conger",0.723554865912311,0.675256273769057,""
"guess","C","Difficulty + MAR",120,2,230202,"gwet","Fleiss",0.723219780055788,0.675232173345061,""
