"input","method","n","reps","n_ok","n_error","median_elapsed_sec","mean_elapsed_sec","min_elapsed_sec","max_elapsed_sec"
"counts","available",250,3,3,0,0,0,0,0
"counts","available",500,3,3,0,0.000999999999999446,0.000666666666666297,0,0.000999999999999446
"counts","available",1000,3,3,0,0,0.000333333333333149,0,0.000999999999999446
"counts","available",2000,3,3,0,0.00100000000000122,0.00100000000000004,0.000999999999997669,0.00100000000000122
"counts","available",4000,3,3,0,0.00100000000000477,0.0013333333333397,0.00100000000000477,0.00200000000000955
"counts","available",8000,3,3,0,0.0010000000000332,0.00166666666667462,0.00100000000000477,0.0029999999999859
"counts","fiml",250,3,3,0,0.271,0.241,0.0799999999999996,0.372
"counts","fiml",500,3,3,0,0.0220000000000002,0.0283333333333336,0.0150000000000006,0.048
"counts","fiml",1000,3,3,0,0.0250000000000004,0.042333333333333,0.0179999999999989,0.0839999999999996
"counts","fiml",2000,3,3,0,0.0339999999999989,0.0316666666666663,0.0240000000000009,0.036999999999999
"counts","fiml",4000,3,3,0,0.0279999999999916,0.0276666666666614,0.0259999999999962,0.0289999999999964
"counts","fiml",8000,3,3,0,0.0180000000000007,0.0223333333333263,0.0179999999999723,0.0310000000000059
"raw","available",250,3,3,0,0.00800000000000001,0.00799999999999997,0.0069999999999999,0.00900000000000001
"raw","available",500,3,3,0,0.0300000000000002,0.03,0.0289999999999999,0.0309999999999997
"raw","available",1000,3,3,0,0.115,0.115666666666667,0.113999999999999,0.118
"raw","available",2000,3,3,0,0.463000000000001,0.470333333333334,0.459,0.489000000000001
"raw","available",4000,3,3,0,1.855,1.84733333333333,1.82499999999999,1.86199999999999
"raw","available",8000,3,3,0,4.90099999999995,5.66266666666665,4.85599999999999,7.23099999999999
"raw","fiml",250,3,3,0,0.613,0.595333333333333,0.345,0.828
"raw","fiml",500,3,3,0,0.809,0.922333333333334,0.754,1.204
"raw","fiml",1000,3,3,0,1.829,1.99766666666667,1.495,2.669
"raw","fiml",2000,3,3,0,3.605,7.86066666666667,3.553,16.424
"raw","fiml",4000,3,3,0,15.528,32.2,14.945,66.127
"raw","fiml",8000,3,3,0,35.368,39.6273333333333,33.747,49.767
"raw","gwet",250,3,3,0,0.00799999999999956,0.00766666666666647,0.0069999999999999,0.00799999999999995
"raw","gwet",500,3,3,0,0.0300000000000002,0.0300000000000005,0.0290000000000008,0.0310000000000006
"raw","gwet",1000,3,3,0,0.114000000000001,0.114333333333334,0.114,0.115
"raw","gwet",2000,3,3,0,0.461000000000002,0.465000000000001,0.452000000000002,0.481999999999999
"raw","gwet",4000,3,3,0,1.846,1.84966666666667,1.842,1.86100000000002
"raw","gwet",8000,3,3,0,4.87799999999999,5.59466666666666,4.654,7.25200000000001
"raw","ipw",250,3,3,0,0.00700000000000012,0.0100000000000001,0.00700000000000012,0.016
"raw","ipw",500,3,3,0,0.0289999999999999,0.0293333333333332,0.0289999999999999,0.0299999999999998
"raw","ipw",1000,3,3,0,0.115,0.114,0.111999999999998,0.115
"raw","ipw",2000,3,3,0,0.456,0.466,0.452999999999999,0.489000000000001
"raw","ipw",4000,3,3,0,1.846,1.84400000000001,1.838,1.84800000000001
"raw","ipw",8000,3,3,0,4.834,5.57266666666666,4.68699999999998,7.197
