"marg","b","kappa_F","kappa_BP","delta","se","z","rej_05"
"uniform",1,0.729425442187431,0.729833333333333,-0.00040789114590245,0.000418563832929523,-0.974501650196638,FALSE
"uniform",2,0.719474740635051,0.719666666666667,-0.000191926031615441,0.000289536793300589,-0.662872685117395,FALSE
"uniform",3,0.735954085349286,0.736,-4.59146507142405e-05,0.000138856467731602,-0.330662672501432,FALSE
"uniform",4,0.724318914562811,0.725,-0.000681085437188589,0.000560952515835234,-1.21415880660502,FALSE
"uniform",5,0.745144160667806,0.745833333333333,-0.000689172665527482,0.000496027907685559,-1.38938284489501,FALSE
"uniform",6,0.715975580467602,0.7165,-0.000524419532397791,0.000457858648059611,-1.14537430846892,FALSE
"uniform",7,0.717893246798339,0.718333333333333,-0.00044008653499461,0.000429132245654883,-1.02552660502827,FALSE
"uniform",8,0.723758827268592,0.724166666666667,-0.000407839398074206,0.00040594141897282,-1.00467549999256,FALSE
"uniform",9,0.726166066438916,0.726333333333333,-0.000167266894416929,0.000261345839947085,-0.640021262442117,FALSE
"uniform",10,0.717735874267199,0.718333333333333,-0.000597459066134509,0.000512551319983963,-1.16565706269804,FALSE
"uniform",11,0.721415786105154,0.721666666666667,-0.000250880561513123,0.000319802419778492,-0.784486126424224,FALSE
"uniform",12,0.740129190375106,0.740333333333333,-0.000204142958227571,0.000284483335020691,-0.717591974984136,FALSE
"uniform",13,0.713107963700374,0.713333333333333,-0.000225369632959826,0.000310594931284358,-0.725606280913499,FALSE
"uniform",14,0.751736924505683,0.751833333333333,-9.64088276502739e-05,0.000195462668842322,-0.493233967495073,FALSE
"uniform",15,0.741297761775577,0.741333333333333,-3.5571557755909e-05,0.000120040737245094,-0.296329051056064,FALSE
"uniform",16,0.699444647722622,0.6995,-5.53522773778514e-05,0.000158883566835627,-0.348382645734005,FALSE
"uniform",17,0.700194923322934,0.700333333333333,-0.00013841001039927,0.000249472647887067,-0.554810363266464,FALSE
"uniform",18,0.720953095375301,0.721833333333333,-0.000880237958032826,0.0005898695707577,-1.4922586308396,FALSE
"uniform",19,0.722783810106353,0.723666666666667,-0.00088285656031406,0.000611939691959025,-1.44271824808052,FALSE
"uniform",20,0.721425982761145,0.722,-0.000574017238854863,0.000480321346866769,-1.19506918149545,FALSE
"uniform",21,0.701575408122334,0.702,-0.00042459187766597,0.000459189164716519,-0.924655698111021,FALSE
"uniform",22,0.737383792328105,0.7375,-0.000116207671894797,0.000219790959761123,-0.528719070252459,FALSE
"uniform",23,0.712779317663126,0.713166666666667,-0.000387349003540427,0.000390804983814062,-0.99115676509571,FALSE
"uniform",24,0.708114013446214,0.708333333333333,-0.000219319887118874,0.000305461082331052,-0.717996169741781,FALSE
"uniform",25,0.74315674966339,0.743166666666667,-9.91700327701572e-06,6.35759744006027e-05,-0.155986650153831,FALSE
"uniform",26,0.724340422850863,0.725333333333333,-0.000992910482470188,0.00063240636517032,-1.57005137385481,FALSE
"uniform",27,0.727519450878554,0.727833333333333,-0.000313882454779701,0.000352253178072412,-0.891070611477002,FALSE
"uniform",28,0.729394539038409,0.7295,-0.000105460961591475,0.000205972619632983,-0.512014469590146,FALSE
"uniform",29,0.706654800185335,0.706833333333333,-0.000178533147998428,0.000279649316187006,-0.638417967305307,FALSE
"uniform",30,0.721875848469025,0.722,-0.000124151530975003,0.000227576796177313,-0.545536860789058,FALSE
"uniform",31,0.709979039217316,0.710166666666667,-0.000187627449350747,0.000289393080179804,-0.648348085013544,FALSE
"uniform",32,0.728213963153809,0.728833333333333,-0.000619370179523959,0.000520386721262571,-1.19021134517275,FALSE
"uniform",33,0.729033817969088,0.729166666666667,-0.000132848697579124,0.000234189051362261,-0.567271171757829,FALSE
"uniform",34,0.751586898459617,0.751666666666667,-7.97682070501349e-05,0.000182752428196467,-0.43648233753907,FALSE
