"profile","profile_label","C","R","patterns","mechanism","n","rep","seed","method","truth","estimate","bias","se","vcov","elapsed_ms","observed_fraction","min_pair_count","observed_categories","psi_vcov_max_abs_error","error"
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,1,1161601,"available",0.825352712419042,0.802750735793525,-0.0226019766255169,0.02582725955947,0.000667047336352235,0,1,150,3,1.0842021724855e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,1,1161601,"fiml",0.825352712419042,0.802750735793525,-0.0226019766255168,0.0258272595594701,0.000667047336352238,1,1,150,3,4.33680868994202e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,2,1161602,"available",0.825352712419042,0.843318001586043,0.0179652891670009,0.0203349230417626,0.000413509095114409,0,1,150,3,5.96311194867027e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,2,1161602,"fiml",0.825352712419042,0.843318001586043,0.0179652891670014,0.0203349230417626,0.000413509095114408,1,1,150,3,3.25260651745651e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,3,1161603,"available",0.825352712419042,0.778745609226208,-0.0466071031928336,0.0277900356468561,0.000772286081253533,0,1,150,3,8.67361737988404e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,3,1161603,"fiml",0.825352712419042,0.778745609226209,-0.0466071031928329,0.0277900356468561,0.000772286081253532,1,1,150,3,6.50521303491303e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,4,1161604,"available",0.825352712419042,0.862037316512773,0.0366846040937313,0.0171022190529221,0.000292485896534133,0,1,150,3,4.33680868994202e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,4,1161604,"fiml",0.825352712419042,0.862037316512772,0.0366846040937308,0.0171022190529222,0.000292485896534134,0,1,150,3,3.25260651745651e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,5,1161605,"available",0.825352712419042,0.851423328885766,0.0260706164667247,0.0190761733991946,0.000363900391556141,0,1,150,3,1.0842021724855e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,5,1161605,"fiml",0.825352712419042,0.851423328885766,0.0260706164667246,0.0190761733991946,0.000363900391556141,0,1,150,3,1.62630325872826e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,6,1161606,"available",0.825352712419042,0.830388987783483,0.00503627536444096,0.0236705387946329,0.000560294406828223,0,1,150,3,6.50521303491303e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,6,1161606,"fiml",0.825352712419042,0.830388987783483,0.00503627536444096,0.023670538794633,0.000560294406828224,0,1,150,3,3.25260651745651e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,7,1161607,"available",0.825352712419042,0.856260877097656,0.0309081646786143,0.0192151783662758,0.000369223079647792,0,1,150,3,6.50521303491303e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,7,1161607,"fiml",0.825352712419042,0.856260877097655,0.0309081646786136,0.0192151783662758,0.000369223079647793,0,1,150,3,2.16840434497101e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,8,1161608,"available",0.825352712419042,0.785350247762067,-0.0400024646569744,0.0281775867609855,0.000793976395672868,0,1,150,3,1.51788304147971e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,8,1161608,"fiml",0.825352712419042,0.785350247762067,-0.0400024646569749,0.0281775867609855,0.000793976395672867,0,1,150,3,1.0842021724855e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",500,1,2161601,"available",0.825352712419042,0.823712375315677,-0.00164033710336442,0.0130139547570322,0.000169363018418081,0,1,500,3,1.21972744404619e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",500,1,2161601,"fiml",0.825352712419042,0.823712375315677,-0.00164033710336453,0.0130139547570323,0.000169363018418083,1,1,500,3,1.0842021724855e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",500,2,2161602,"available",0.825352712419042,0.833022942321306,0.0076702299022644,0.0118106044532145,0.00013949037755029,1,1,500,3,2.71050543121376e-20,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",500,2,2161602,"fiml",0.825352712419042,0.833022942321306,0.00767022990226407,0.0118106044532145,0.00013949037755029,1,1,500,3,4.87890977618477e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",500,3,2161603,"available",0.825352712419042,0.836213054893888,0.0108603424748458,0.0119150052570757,0.000141967350276141,0,1,500,3,8.13151629364128e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",500,3,2161603,"fiml",0.825352712419042,0.836213054893888,0.0108603424748464,0.0119150052570756,0.000141967350276139,1,1,500,3,5.42101086242752e-20,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",500,4,2161604,"available",0.825352712419042,0.821977296140936,-0.003375416278106,0.0127935061213803,0.000163673798877795,0,1,500,3,1.35525271560688e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"complete",500,4,2161604,"fiml",0.825352712419042,0.821977296140936,-0.00337541627810589,0.0127935061213803,0.000163673798877795,1,1,500,3,8.13151629364128e-20,""
