"profile","profile_label","C","R","patterns","mechanism","n","method","reps","n_valid","n_finite_se","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","rmse","mean_se","se_over_sd","coverage95","mean_z","sd_z","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","min_pair_count_min","min_observed_categories","max_psi_vcov_abs_error"
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,"available",8,8,8,0,0.848384020813531,0.848378104166841,-5.91664669007119e-06,0.0241432218785506,0.00853591795500729,0.0225839168956366,0.0191145409370352,0.79171458694239,0.75,0.195088560010225,1.36088008603897,0.25,0,1,150,4,7.58941520739853e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,"fiml",8,8,8,0,0.848384020813531,0.848378104166841,-5.91664669014058e-06,0.0241432218785507,0.00853591795500731,0.0225839168956366,0.0191145409370353,0.791714586942391,0.75,0.195088560010222,1.36088008603897,2.5,2.5,1,150,4,8.67361737988404e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,"available",8,8,8,0,0.848384020813531,0.847226470376925,-0.00115755043660616,0.00969069198999589,0.00342617701025812,0.00913842138187095,0.0106988682556504,1.10403552880386,1,-0.0481738193224066,0.912218069564277,0,0,1,500,4,8.53809210832335e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,"fiml",8,8,8,0,0.848384020813531,0.847226470376928,-0.00115755043660278,0.00969069198999514,0.00342617701025786,0.00913842138186983,0.0106988682556502,1.10403552880392,1,-0.0481738193220961,0.912218069564244,30.25,29,1,500,4,4.60785923306339e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"mar",150,"available",8,8,8,0,0.848384020813531,0.815203931389639,-0.0331800894238914,0.0308460372462257,0.0109057210547695,0.0439711450413624,0.0300975579972025,0.975734994967146,0.875,-0.969969120008363,0.879865475050042,0,0,0.6895,41,4,1.51788304147971e-18
"ordinal4x5","C = 4, R = 5",4,5,1024,"mar",150,"fiml",8,8,8,0,0.848384020813531,0.811391351484213,-0.036992669329318,0.0323643256845276,0.0114425170800297,0.0478014221963706,0.0320482604561696,0.990234147578451,0.875,-1.02143664123117,0.800423882110641,5.87499999999996,5.99999999999989,0.6895,41,4,6.72205346941013e-18
"ordinal4x5","C = 4, R = 5",4,5,1024,"mar",500,"available",8,8,8,0,0.848384020813531,0.824939552361736,-0.0234444684517952,0.0166837947567256,0.00589861220420263,0.028163779620928,0.0155349073811351,0.931137526423514,0.75,-1.46002603851105,0.968715122809486,0.499999999999973,0.499999999999945,0.6876,166,4,7.04731412115578e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"mar",500,"fiml",8,8,8,0,0.848384020813531,0.836399980131646,-0.0119840406818845,0.0173687233643174,0.00614077103573102,0.0201886283203682,0.0154004382030461,0.88667646320426,0.75,-0.681720231897652,1.00799364274123,29.25,28.5,0.6876,166,4,7.42678488152571e-18
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,"available",8,8,8,0,0.848384020813531,0.84783284218433,-0.000551178629200511,0.0284467470824942,0.0100574438823651,0.0266152031743092,0.0227056304703446,0.798180206844015,0.875,0.212201253881577,1.31112207739317,0.125,0,0.776166666666667,72,4,4.87890977618477e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,"fiml",8,8,8,0,0.848384020813531,0.843126939355651,-0.00525708145787966,0.0329761680539487,0.0116588360242472,0.0312911506266031,0.024395398551401,0.739788762341652,0.875,0.116203206445849,1.37016689883421,4.375,3.5,0.776166666666667,72,4,1.14925430283463e-17
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,"available",8,8,8,0,0.848384020813531,0.846396635034586,-0.00198738577894446,0.0154964053394474,0.00547880664976933,0.0146311639445824,0.012733960386106,0.821736403196077,0.875,-0.0767465867449367,1.20438960766689,0.375000000000014,0,0.77775,278,4,1.02999206386123e-18
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,"fiml",8,8,8,0,0.848384020813531,0.840898184902048,-0.00748583591148273,0.0197452371840661,0.00698099555449497,0.0199293209070654,0.0135273545852933,0.685094560231948,0.875,-0.36281319711921,1.42987097198856,22.875,24,0.77775,278,4,2.38524477946811e-17
"paper5x6","C = 5, R = 6",5,6,15625,"complete",150,"available",8,8,8,0,0.853987551538603,0.856333709695267,0.00234615815666385,0.0162146166633968,0.00573273269851414,0.0153477694615333,0.0176893489302761,1.09095079442787,1,0.238505020492555,0.915515767599813,0.374999999999986,0,1,150,5,9.21571846612679e-19
"paper5x6","C = 5, R = 6",5,6,15625,"complete",150,"fiml",8,8,8,0,0.853987551538603,0.856333709695265,0.00234615815666223,0.0162146166633971,0.00573273269851422,0.0153477694615332,0.0176893489302763,1.09095079442786,1,0.23850502049246,0.915515767599811,3.87500000000002,4,1,150,5,3.79470760369927e-19
