"dgp","dgp_label","family","p","dist","mechanism","n","rep","seed","method","truth","estimate","bias","se","elapsed_ms","em_iter","observed_fraction","complete_rows","min_pair_count","error"
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,1,1181801,"pairwise",0.777350269189626,0.784266524152652,0.00691625496302661,NA,0,NA,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,1,1181801,"fiml_sandwich",0.777350269189626,0.784266524152652,0.0069162549630265,0.0268824587700207,11,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,1,1181801,"fiml_normal",0.777350269189626,0.784266524152652,0.0069162549630265,0.0262038227648637,13,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,1,1181801,"listwise",0.777350269189626,0.784266524152652,0.0069162549630265,0.0268824587700207,8.00000000000001,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,2,1181802,"pairwise",0.777350269189626,0.735394460223659,-0.0419558089659667,NA,1,NA,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,2,1181802,"fiml_sandwich",0.777350269189626,0.735394460223659,-0.0419558089659667,0.0301876021886895,8.99999999999995,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,2,1181802,"fiml_normal",0.777350269189626,0.735394460223659,-0.0419558089659667,0.0324702133163225,10,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,2,1181802,"listwise",0.777350269189626,0.735394460223659,-0.0419558089659667,0.0301876021886895,13,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,3,1181803,"pairwise",0.777350269189626,0.763260838418007,-0.0140894307716188,NA,0,NA,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,3,1181803,"fiml_sandwich",0.777350269189626,0.763260838418007,-0.0140894307716188,0.0248878867718591,7.00000000000001,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,3,1181803,"fiml_normal",0.777350269189626,0.763260838418007,-0.0140894307716188,0.0282253042240506,10,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,3,1181803,"listwise",0.777350269189626,0.763260838418007,-0.0140894307716188,0.0248878867718591,9.00000000000001,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,4,1181804,"pairwise",0.777350269189626,0.756643170635811,-0.0207070985538143,NA,0,NA,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,4,1181804,"fiml_sandwich",0.777350269189626,0.756643170635811,-0.0207070985538141,0.0311726138168525,6.99999999999995,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,4,1181804,"fiml_normal",0.777350269189626,0.756643170635811,-0.0207070985538141,0.0294323400687787,9.00000000000001,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","complete",160,4,1181804,"listwise",0.777350269189626,0.756643170635811,-0.0207070985538141,0.0311726138168525,9.00000000000001,2,1,160,160,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,1,2181801,"pairwise",0.777350269189626,0.744926342592644,-0.0324239265969811,NA,0,NA,0.742708333333333,49,76,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,1,2181801,"fiml_sandwich",0.777350269189626,0.780412757839407,0.00306248864978187,0.0318832878413372,192,50,0.742708333333333,49,76,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,1,2181801,"fiml_normal",0.777350269189626,0.780412757839407,0.00306248864978187,0.0333209841124546,192,50,0.742708333333333,49,76,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,1,2181801,"listwise",0.777350269189626,0.784206317801586,0.00685604861195999,0.042183185487968,5,2,0.742708333333333,49,76,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,2,2181802,"pairwise",0.777350269189626,0.714108381293854,-0.0632418878957713,NA,0,NA,0.73125,45,76,""
"congeneric6_zy","Congeneric Zhang-Yuan, 6 items","congeneric",6,"normal","mar_anchor30",160,2,2181802,"fiml_sandwich",0.777350269189626,0.757140053284733,-0.0202102159048922,0.0366236942515566,179,48,0.73125,45,76,""
