"dist","mech","n","R","method","coef","reps","truth","bias","rmse","mean_se","coverage95","mean_ci_length","valid_reps"
"normal","mcar",600,4,"listwise","Conger",40,0.521852554821328,-0.00720964283580725,0.0329646993205562,0.0341995715498807,0.975,0.134059857048934,40
"normal","mcar",600,4,"nt_fiml","Conger",40,0.521852554821328,-0.00670293552634596,0.0231627597080079,0.0212789787845231,0.925,0.0834120640909144,40
"normal","mcar",600,4,"pairwise","Conger",40,0.521852554821328,-0.00736010418574356,0.0237660545601447,0.0224142076995141,0.925,0.087862079666096,40
"normal","mcar",600,4,"listwise","Fleiss",40,0.507061145408557,-0.00783521270033609,0.0351890687542517,0.0366588592106798,0.975,0.143700087534513,40
"normal","mcar",600,4,"nt_fiml","Fleiss",40,0.507061145408557,-0.00717819129947062,0.0248887086790953,0.0228025583981995,0.925,0.0893843864316845,40
"normal","mcar",600,4,"pairwise","Fleiss",40,0.507061145408557,-0.00792644316879763,0.0255481538400292,0.0238298218587486,0.925,0.0934111852023052,40
"skewed","mcar",600,4,"listwise","Conger",40,0.521917790121227,-0.00242558422178226,0.044370574536849,0.0447080712074758,0.925,0.175252418769809,40
"skewed","mcar",600,4,"nt_fiml","Conger",40,0.521917790121227,0.00263643380205564,0.0315671563286051,0.0285267541140676,0.925,0.111822821318805,40
"skewed","mcar",600,4,"pairwise","Conger",40,0.521917790121227,0.000840006951488309,0.0307419370097354,0.0304628949868181,0.95,0.119412354077979,40
"skewed","mcar",600,4,"listwise","Fleiss",40,0.507166023658345,-0.0030064401761756,0.0479791057383065,0.0479166995640202,0.925,0.187830010807011,40
"skewed","mcar",600,4,"nt_fiml","Fleiss",40,0.507166023658345,0.00263041247193824,0.0337323088928777,0.0305375565926876,0.925,0.119705022195043,40
"skewed","mcar",600,4,"pairwise","Fleiss",40,0.507166023658345,0.000747396763082839,0.0328774594683322,0.0323820817294686,0.95,0.126935427868382,40
"categorical","mcar",600,4,"listwise","Conger",40,0.556089470226231,0.00372584698832418,0.0344407959152867,0.0391001070190831,1,0.153269603098129,40
"categorical","mcar",600,4,"nt_fiml","Conger",40,0.556089470226231,0.00318878791147189,0.0266613456383532,0.0265944846242911,0.875,0.10424846410203,40
"categorical","mcar",600,4,"pairwise","Conger",40,0.556089470226231,0.00317279798999984,0.0254190734724182,0.0274500035639877,0.95,0.107602036721824,40
"categorical","mcar",600,4,"listwise","Fleiss",40,0.553873536782665,0.00350571027629131,0.0348596337852157,0.0397705412617993,1,0.155897657037582,40
"categorical","mcar",600,4,"nt_fiml","Fleiss",40,0.553873536782665,0.00329786309474649,0.0269752768591762,0.0269761754048305,0.875,0.105744664468206,40
"categorical","mcar",600,4,"pairwise","Fleiss",40,0.553873536782665,0.00321461167980197,0.0256601155302423,0.0278135153039846,0.95,0.109026976558527,40
"mixture","mcar",600,4,"listwise","Conger",40,0.776254456926283,0.00120067876205637,0.0167607667426103,0.0172040528534558,0.95,0.0674386479617938,40
"mixture","mcar",600,4,"nt_fiml","Conger",40,0.776254456926283,0.000197158232240199,0.0115452874007555,0.0109065931229389,0.975,0.0427530594299848,40
"mixture","mcar",600,4,"pairwise","Conger",40,0.776254456926283,-0.000276171561510555,0.011412443363469,0.0113158495972533,0.95,0.0443573153301772,40
"mixture","mcar",600,4,"listwise","Fleiss",40,0.773080969285475,0.00111956553126455,0.0172998804513543,0.0177765009756239,0.95,0.0696826033667278,40
"mixture","mcar",600,4,"nt_fiml","Fleiss",40,0.773080969285475,0.000154666302298917,0.0119143639565429,0.0112709732515318,0.95,0.0441814032874331,40
"mixture","mcar",600,4,"pairwise","Fleiss",40,0.773080969285475,-0.000226874219170745,0.0117611431697905,0.0116363842871722,0.95,0.0456137882262507,40
"normal","mar",600,4,"listwise","Conger",40,0.521852554821328,-0.0858688601371416,0.0899562373424438,0.0285613822515815,0.1,0.111958561123563,40
"normal","mar",600,4,"nt_fiml","Conger",40,0.521852554821328,-0.00483607612395251,0.0172343343031869,0.0211467890078149,1,0.0828938896879693,40
"normal","mar",600,4,"pairwise","Conger",40,0.521852554821328,-0.0646571479446054,0.0668285008376826,0.0229904670551647,0.15,0.0901209748317548,40
"normal","mar",600,4,"listwise","Fleiss",40,0.507061145408557,-0.0959918425034551,0.100428312298025,0.0314560817748712,0.1,0.123305574746988,40
"normal","mar",600,4,"nt_fiml","Fleiss",40,0.507061145408557,-0.00504915707724029,0.0181934952524125,0.0225620314381727,1,0.088441538073758,40
"normal","mar",600,4,"pairwise","Fleiss",40,0.507061145408557,-0.0675719880475863,0.0699242012103998,0.0246161599631854,0.15,0.0964935739310405,40
"skewed","mar",600,4,"listwise","Conger",40,0.521917790121227,-0.21137727172898,0.213257821001305,0.0305402616393719,0,0.119715625783198,40
"skewed","mar",600,4,"nt_fiml","Conger",40,0.521917790121227,-0.0095128315109981,0.0309014547786969,0.0310250125580642,0.95,0.121615814467417,40
"skewed","mar",600,4,"pairwise","Conger",40,0.521917790121227,-0.121356357338565,0.124633687198194,0.0282798271886007,0.025,0.110854885557348,40
"skewed","mar",600,4,"listwise","Fleiss",40,0.507166023658345,-0.233203690010559,0.235367466199645,0.0342147964422587,0,0.134119537530393,40
"skewed","mar",600,4,"nt_fiml","Fleiss",40,0.507166023658345,-0.0103572927858775,0.0329711566996624,0.0330288625766556,0.95,0.129470762201136,40
"skewed","mar",600,4,"pairwise","Fleiss",40,0.507166023658345,-0.125908648867588,0.129721006504517,0.0310096391372439,0.025,0.121555551765163,40
"categorical","mar",600,4,"listwise","Conger",40,0.556089470226231,-0.139986129827402,0.14446459615279,0.0335238569029556,0.025,0.131411104305335,40
"categorical","mar",600,4,"nt_fiml","Conger",40,0.556089470226231,-0.00752542539324447,0.0272879132325873,0.0265149952144533,0.925,0.103936871341161,40
"categorical","mar",600,4,"pairwise","Conger",40,0.556089470226231,-0.055649093636532,0.0619442341999754,0.0280273046676199,0.525,0.109865015464533,40
"categorical","mar",600,4,"listwise","Fleiss",40,0.553873536782665,-0.149638449287453,0.154215305436611,0.0352347304429448,0.025,0.138117605346298,40
"categorical","mar",600,4,"nt_fiml","Fleiss",40,0.553873536782665,-0.00749480203973246,0.0275863981055403,0.0268433972396272,0.925,0.105224183624742,40
"categorical","mar",600,4,"pairwise","Fleiss",40,0.553873536782665,-0.054253622962866,0.0608258809691039,0.0283389149388279,0.6,0.111086505282094,40
"mixture","mar",600,4,"listwise","Conger",40,0.776254456926283,-0.0878521911482345,0.0922447855257093,0.0219373804480599,0.025,0.0859929511867012,40
"mixture","mar",600,4,"nt_fiml","Conger",40,0.776254456926283,0.00322876956882182,0.0120078544173624,0.0107677142082304,0.925,0.0422086640879038,40
"mixture","mar",600,4,"pairwise","Conger",40,0.776254456926283,-0.0251637788892066,0.0289495532992314,0.0124012368050092,0.5,0.0486119550031412,40
"mixture","mar",600,4,"listwise","Fleiss",40,0.773080969285475,-0.0914968719596456,0.0961455539907857,0.0229830394093242,0.025,0.0900918589950803,40
"mixture","mar",600,4,"nt_fiml","Fleiss",40,0.773080969285475,0.00331476601230674,0.0123657527379037,0.0111043832202836,0.925,0.0435283823645736,40
"mixture","mar",600,4,"pairwise","Fleiss",40,0.773080969285475,-0.0243127183924148,0.0283353759948066,0.0126330652613948,0.6,0.0495207058533557,40
"normal","mcar",50,4,"listwise","Conger",40,0.521852554821328,-0.0434169272091396,0.124990570231936,0.100824762008214,0.85,0.395225804571842,40
"normal","mcar",50,4,"nt_fiml","Conger",40,0.521852554821328,-0.0118874690125905,0.078721427049067,0.0708906770924511,0.925,0.277886347881725,40
"normal","mcar",50,4,"pairwise","Conger",40,0.521852554821328,-0.0061159162605451,0.0715878215239706,0.0724657851159527,0.95,0.284060657877372,40
"normal","mcar",50,4,"listwise","Fleiss",40,0.507061145408557,-0.0518412613842842,0.13691833192271,0.111154919757114,0.875,0.435719278856764,40
"normal","mcar",50,4,"nt_fiml","Fleiss",40,0.507061145408557,-0.0154481451344767,0.0862462704358392,0.0767886650526966,0.95,0.30100603584839,40
"normal","mcar",50,4,"pairwise","Fleiss",40,0.507061145408557,-0.0104746087500962,0.0784518371585907,0.0778582824225638,0.95,0.305198858892746,40
"normal","mar",50,4,"listwise","Conger",40,0.521852554821328,-0.117388700700033,0.159558224394694,0.0836827143433051,0.7,0.328030212482863,40
"normal","mar",50,4,"nt_fiml","Conger",40,0.521852554821328,-0.01974500406139,0.0814394137212208,0.0676759614538922,0.9,0.265284894137499,40
"normal","mar",50,4,"pairwise","Conger",40,0.521852554821328,-0.0776105648886819,0.118969540701754,0.0718993515774964,0.75,0.281840279207352,40
"normal","mar",50,4,"listwise","Fleiss",40,0.507061145408557,-0.133842643732745,0.178907856514941,0.0935580941202762,0.725,0.3667409898759,40
"normal","mar",50,4,"nt_fiml","Fleiss",40,0.507061145408557,-0.0222662758570175,0.0871112050841172,0.0726842759533798,0.9,0.28491712622199,40
"normal","mar",50,4,"pairwise","Fleiss",40,0.507061145408557,-0.083131334602855,0.126528619109759,0.0775453601865131,0.75,0.303972226267504,40
"normal","mcar",200,4,"listwise","Conger",40,0.521852554821328,-0.0137518255096782,0.0587333545855805,0.0558237408462374,0.925,0.218825043081846,40
"normal","mcar",200,4,"nt_fiml","Conger",40,0.521852554821328,-0.00965580504323925,0.0425011776365773,0.0363258268328372,0.925,0.142394624601999,40
"normal","mcar",200,4,"pairwise","Conger",40,0.521852554821328,-0.00943412778823865,0.0431071976059906,0.0381427438246969,0.9,0.149516808335887,40
"normal","mcar",200,4,"listwise","Fleiss",40,0.507061145408557,-0.0154101842542245,0.0626580744745756,0.0601020432536345,0.95,0.235595680348784,40
"normal","mcar",200,4,"nt_fiml","Fleiss",40,0.507061145408557,-0.0110221030040855,0.0459296978778774,0.0390746388011354,0.925,0.153169769518273,40
"normal","mcar",200,4,"pairwise","Fleiss",40,0.507061145408557,-0.0106913786722101,0.0463483973817167,0.0406631686566845,0.9,0.159396692128759,40
"normal","mar",200,4,"listwise","Conger",40,0.521852554821328,-0.0906690616871174,0.103988371223616,0.0483570345217098,0.55,0.189556092123422,40
"normal","mar",200,4,"nt_fiml","Conger",40,0.521852554821328,-0.014165610124461,0.0445438805743426,0.0357909062146255,0.875,0.140297774309434,40
"normal","mar",200,4,"pairwise","Conger",40,0.521852554821328,-0.0749675578359714,0.0877828377322753,0.0391221137087896,0.475,0.153355867736617,40
"normal","mar",200,4,"listwise","Fleiss",40,0.507061145408557,-0.101869152058502,0.116420905838006,0.0534520922266481,0.55,0.209528351325087,40
"normal","mar",200,4,"nt_fiml","Fleiss",40,0.507061145408557,-0.0155939494193856,0.0475617431267583,0.0383163016516527,0.875,0.150197142516024,40
"normal","mar",200,4,"pairwise","Fleiss",40,0.507061145408557,-0.0792062389543212,0.0930684640231845,0.0419797861327189,0.5,0.164557737797646,40
"normal","mcar",600,2,"listwise","Conger",40,0.42117667415928,0.0135495129876937,0.0323927100610879,0.0316121923486723,0.95,0.123917516951501,40
"normal","mcar",600,2,"nt_fiml","Conger",40,0.42117667415928,0.0111174255357303,0.0288840363828954,0.0291916025510354,0.925,0.114428979302074,40
"normal","mcar",600,2,"pairwise","Conger",40,0.42117667415928,0.0120194687503281,0.0368111738019177,0.0341662062079178,0.875,0.133929067311776,40
"normal","mcar",600,2,"listwise","Fleiss",40,0.331181901828079,0.0183808142277321,0.0460655583550853,0.0432772433190649,0.9,0.169643676511088,40
"normal","mcar",600,2,"nt_fiml","Fleiss",40,0.331181901828079,0.0148028263606778,0.0403515866054734,0.039663326038386,0.925,0.155477381084613,40
"normal","mcar",600,2,"pairwise","Fleiss",40,0.331181901828079,0.0161122868642277,0.0480828127493675,0.0434415926915342,0.9,0.170287914212931,40
"normal","mar",600,2,"listwise","Conger",40,0.42117667415928,-0.0477321121468329,0.0582381224844881,0.0275144642655524,0.6,0.107854718028794,40
"normal","mar",600,2,"nt_fiml","Conger",40,0.42117667415928,0.00361308098633049,0.0281029631135392,0.0255417862840427,0.875,0.100121962435086,40
"normal","mar",600,2,"pairwise","Conger",40,0.42117667415928,-0.112275305642895,0.119180822052652,0.032478777620269,0.075,0.127314468795225,40
"normal","mar",600,2,"listwise","Fleiss",40,0.331181901828079,-0.0751015748562489,0.0891503200650811,0.0402507525540412,0.6,0.157780050713109,40
"normal","mar",600,2,"nt_fiml","Fleiss",40,0.331181901828079,0.00247295774094375,0.0382107977652162,0.034696858569235,0.9,0.136009186344761,40
"normal","mar",600,2,"pairwise","Fleiss",40,0.331181901828079,-0.129570069182963,0.140006212648642,0.0438444988903987,0.15,0.171867277490776,40
