"model_family","dgp","dgp_name","n","rep","seed","method","coefficient","estimate","truth","error"
"guess","A","Exchangeable + MCAR",1000,1,210201,"available","Conger",0.835703807554542,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"available","Fleiss",0.835684835833704,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"available","Brennan-Prediger",0.837583701381963,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"ipw","Conger",0.835922986054911,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"ipw","Fleiss",0.835908872172979,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"ipw","Brennan-Prediger",0.837758916825834,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"fiml","Conger",0.826881031074035,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"fiml","Fleiss",0.826874341613472,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"fiml","Brennan-Prediger",0.828932295725532,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"gwet","Conger",0.83574578786155,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"gwet","Fleiss",0.835731658737055,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,1,210201,"gwet","Brennan-Prediger",0.837583701381963,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,2,210202,"available","Conger",0.84753853007466,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,2,210202,"available","Fleiss",0.847547660580854,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,2,210202,"available","Brennan-Prediger",0.85126582278481,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,2,210202,"ipw","Conger",0.852965634740511,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,2,210202,"ipw","Fleiss",0.852945739090066,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,2,210202,"ipw","Brennan-Prediger",0.856674298013997,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,2,210202,"fiml","Conger",0.830382404299741,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,2,210202,"fiml","Fleiss",0.830361369375312,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,2,210202,"fiml","Brennan-Prediger",0.834219522541085,0.847107967078189,""
