"mechanism","replicate","n","estimator","coefficient","estimate","truth","bias","observed_fraction","mean_observed_raters","zero_observed_fraction","error"
"m1_rater_mcar",1,500,"counts_fiml","Fleiss",0.739533725996158,0.652494739899285,0.087038986096873,0.6132,3.066,0.002,""
"m1_rater_mcar",1,500,"counts_fiml","Brennan-Prediger",0.74161092678464,0.656030112,0.08558081478464,0.6132,3.066,0.002,""
"m1_rater_mcar",1,500,"raw_fiml","Fleiss",0.659688004750991,0.652494739899285,0.00719326485170646,0.6132,3.066,0.002,""
"m1_rater_mcar",1,500,"raw_fiml","Brennan-Prediger",0.662516139781621,0.656030112,0.00648602778162122,0.6132,3.066,0.002,""
"m1_rater_mcar",1,500,"raw_ipw","Fleiss",0.677647697069576,0.652494739899285,0.0251529571702906,0.6132,3.066,0.002,""
"m1_rater_mcar",1,500,"raw_ipw","Brennan-Prediger",0.679829962686425,0.656030112,0.0237998506864252,0.6132,3.066,0.002,""
"m1_rater_mcar",2,500,"counts_fiml","Fleiss",0.758934510340435,0.652494739899285,0.10643977044115,0.6172,3.086,0,""
"m1_rater_mcar",2,500,"counts_fiml","Brennan-Prediger",0.761996114811063,0.656030112,0.105966002811063,0.6172,3.086,0,""
"m1_rater_mcar",2,500,"raw_fiml","Fleiss",0.694531644958366,0.652494739899285,0.0420369050590812,0.6172,3.086,0,""
"m1_rater_mcar",2,500,"raw_fiml","Brennan-Prediger",0.69815754258693,0.656030112,0.0421274305869299,0.6172,3.086,0,""
"m1_rater_mcar",2,500,"raw_ipw","Fleiss",0.688281760053197,0.652494739899285,0.0357870201539121,0.6172,3.086,0,""
"m1_rater_mcar",2,500,"raw_ipw","Brennan-Prediger",0.691702147180299,0.656030112,0.0356720351802986,0.6172,3.086,0,""
"m1_rater_mcar",3,500,"counts_fiml","Fleiss",0.760920694236559,0.652494739899285,0.108425954337274,0.61,3.05,0.004,""
"m1_rater_mcar",3,500,"counts_fiml","Brennan-Prediger",0.765624133469203,0.656030112,0.109594021469203,0.61,3.05,0.004,""
"m1_rater_mcar",3,500,"raw_fiml","Fleiss",0.679072218988274,0.652494739899285,0.0265774790889892,0.61,3.05,0.004,""
"m1_rater_mcar",3,500,"raw_fiml","Brennan-Prediger",0.685712999200126,0.656030112,0.0296828872001256,0.61,3.05,0.004,""
"m1_rater_mcar",3,500,"raw_ipw","Fleiss",0.677714142038932,0.652494739899285,0.0252194021396467,0.61,3.05,0.004,""
"m1_rater_mcar",3,500,"raw_ipw","Brennan-Prediger",0.684257166282447,0.656030112,0.0282270542824465,0.61,3.05,0.004,""
"m1_rater_mcar",4,500,"counts_fiml","Fleiss",0.739100479283701,0.652494739899285,0.0866057393844162,0.612,3.06,0.002,""
"m1_rater_mcar",4,500,"counts_fiml","Brennan-Prediger",0.74155573693632,0.656030112,0.0855256249363203,0.612,3.06,0.002,""
"m1_rater_mcar",4,500,"raw_fiml","Fleiss",0.633743101043575,0.652494739899285,-0.0187516388557101,0.612,3.06,0.002,""
"m1_rater_mcar",4,500,"raw_fiml","Brennan-Prediger",0.636567842360211,0.656030112,-0.0194622696397886,0.612,3.06,0.002,""
"m1_rater_mcar",4,500,"raw_ipw","Fleiss",0.654153670473184,0.652494739899285,0.00165893057389943,0.612,3.06,0.002,""
