"phase","profile","profile_label","C","R","n","rep","seed","prune_tol","coefficient","estimate","se","truth","error","observed_fraction"
"scaling","p1","P1: C = 5, R = 6",5,6,500,1,605001,1e-09,"Conger",0.831785568309574,0.0619245128072026,0.8464,"",0.686
"scaling","p1","P1: C = 5, R = 6",5,6,500,1,605001,1e-09,"Fleiss",0.83176807280628,0.0619716565467852,0.8464,"",0.686
"scaling","p1","P1: C = 5, R = 6",5,6,500,1,605001,1e-09,"Brennan-Prediger",0.837642085414645,0.0602890021100883,0.850228148148148,"",0.686
"scaling","p1","P1: C = 5, R = 6",5,6,500,2,605002,1e-09,"Conger",0.85010079026026,0.0523594951575951,0.8464,"",0.689333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,2,605002,1e-09,"Fleiss",0.850079710968933,0.0523442585264909,0.8464,"",0.689333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,2,605002,1e-09,"Brennan-Prediger",0.854852022342494,0.0504530704363118,0.850228148148148,"",0.689333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,3,605003,1e-09,"Conger",0.808360345843257,0.1022453620636,0.8464,"",0.689666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,500,3,605003,1e-09,"Fleiss",0.808323868833049,0.102300382939715,0.8464,"",0.689666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,500,3,605003,1e-09,"Brennan-Prediger",0.813511527627545,0.101457378871697,0.850228148148148,"",0.689666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,500,4,605004,1e-09,"Conger",0.825208165485327,0.0769012439118353,0.8464,"",0.693333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,4,605004,1e-09,"Fleiss",0.825184320460197,0.0768378276080528,0.8464,"",0.693333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,4,605004,1e-09,"Brennan-Prediger",0.830450145339693,0.0761877435203119,0.850228148148148,"",0.693333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,5,605005,1e-09,"Conger",0.834057315553202,0.07227897010955,0.8464,"",0.683333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,5,605005,1e-09,"Fleiss",0.834031934153173,0.0723352264981738,0.8464,"",0.683333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,5,605005,1e-09,"Brennan-Prediger",0.837618965478757,0.0725078870723262,0.850228148148148,"",0.683333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,6,605006,1e-09,"Conger",0.842474379303329,0.0636485537688406,0.8464,"",0.697666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,500,6,605006,1e-09,"Fleiss",0.842456349764321,0.0636566774153486,0.8464,"",0.697666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,500,6,605006,1e-09,"Brennan-Prediger",0.847411934613027,0.0642907330566768,0.850228148148148,"",0.697666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,500,7,605007,1e-09,"Conger",0.838113104902484,0.113877661361902,0.8464,"",0.685333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,7,605007,1e-09,"Fleiss",0.838100134407551,0.113862245984873,0.8464,"",0.685333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,7,605007,1e-09,"Brennan-Prediger",0.843090227257492,0.112985353975267,0.850228148148148,"",0.685333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,500,8,605008,1e-09,"Conger",0.821035669363932,0.0573114644587692,0.8464,"",0.683666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,500,8,605008,1e-09,"Fleiss",0.821005751379722,0.0572992967604233,0.8464,"",0.683666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,500,8,605008,1e-09,"Brennan-Prediger",0.82494601691748,0.0574084710197503,0.850228148148148,"",0.683666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,2000,1,705001,1e-09,"Conger",0.832808689618236,0.0480397424682392,0.8464,"",0.689583333333333
"scaling","p1","P1: C = 5, R = 6",5,6,2000,1,705001,1e-09,"Fleiss",0.832804274520582,0.0480189607830975,0.8464,"",0.689583333333333
"scaling","p1","P1: C = 5, R = 6",5,6,2000,1,705001,1e-09,"Brennan-Prediger",0.837026544177532,0.0472857408094712,0.850228148148148,"",0.689583333333333
"scaling","p1","P1: C = 5, R = 6",5,6,2000,2,705002,1e-09,"Conger",0.827157747626492,0.0512977057782944,0.8464,"",0.693666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,2000,2,705002,1e-09,"Fleiss",0.827153438791678,0.0512846912124558,0.8464,"",0.693666666666667
"scaling","p1","P1: C = 5, R = 6",5,6,2000,2,705002,1e-09,"Brennan-Prediger",0.832600619550399,0.0518217632524203,0.850228148148148,"",0.693666666666667
