"phase","profile","profile_label","C","R","n","prune_tol","coefficient","reps","n_valid","failures","truth","mean_estimate","bias","sd","mc_se_bias","rmse","mean_se","mean_observed_fraction","bias_times_n"
"prune","p1","P1: C = 5, R = 6",5,6,2000,1e-12,"Brennan-Prediger",8,8,0,0.850228148148148,0.841984437310046,-0.00824371083810192,0.0053988518683448,0.00190878238336413,0.00966762223566519,0.0528200547953825,0.6911875,-16.4874216762038
"prune","p1","P1: C = 5, R = 6",5,6,2000,1e-09,"Brennan-Prediger",8,8,0,0.850228148148148,0.838410801596446,-0.0118173465517024,0.00553312644263091,0.00195625561437346,0.0129010942064775,0.0576843675727757,0.692135416666667,-23.6346931034049
"prune","p1","P1: C = 5, R = 6",5,6,2000,1e-06,"Brennan-Prediger",8,8,0,0.850228148148148,0.840989334950972,-0.00923881319717654,0.00617919887375894,0.00218467671296761,0.0108979519027019,0.0299272092071737,0.6911875,-18.4776263943531
"prune","p1","P1: C = 5, R = 6",5,6,2000,1e-12,"Conger",8,8,0,0.8464,0.837782671802428,-0.00861732819757145,0.00572291865226996,0.00202335729359953,0.0101447606392461,0.0536590415433967,0.6911875,-17.2346563951429
"prune","p1","P1: C = 5, R = 6",5,6,2000,1e-09,"Conger",8,8,0,0.8464,0.83436393508388,-0.01203606491612,0.00570860246856451,0.00201829575831012,0.0131674402615369,0.0586214318478128,0.692135416666667,-24.07212983224
"prune","p1","P1: C = 5, R = 6",5,6,2000,1e-06,"Conger",8,8,0,0.8464,0.836841065598059,-0.00955893440194047,0.0066105330894898,0.00233717638741815,0.011384637946019,0.0301499305614258,0.6911875,-19.1178688038809
"prune","p1","P1: C = 5, R = 6",5,6,2000,1e-12,"Fleiss",8,8,0,0.8464,0.837777936402272,-0.00862206359772773,0.00572323948723697,0.00202347072588994,0.0101489416755146,0.0536611802327239,0.6911875,-17.2441271954555
"prune","p1","P1: C = 5, R = 6",5,6,2000,1e-09,"Fleiss",8,8,0,0.8464,0.834358685410794,-0.0120413145892058,0.00570864759881472,0.0020183117142631,0.0131722561570804,0.0586219490538972,0.692135416666667,-24.0826291784117
"prune","p1","P1: C = 5, R = 6",5,6,2000,1e-06,"Fleiss",8,8,0,0.8464,0.836836005407107,-0.00956399459289325,0.0066118375035172,0.00233763756742027,0.011389549523541,0.0301402080037215,0.6911875,-19.1279891857865
"prune","p2","P2: C = 3, R = 4",3,4,2000,1e-12,"Brennan-Prediger",8,8,0,0.856,0.853140675559626,-0.00285932444037401,0.00919248359892954,0.0032500337443746,0.00906172012546929,0.00907168821119051,0.686984375,-5.71864888074802
"prune","p2","P2: C = 3, R = 4",3,4,2000,1e-09,"Brennan-Prediger",8,8,0,0.856,0.856171848174131,0.000171848174130435,0.0112463928839472,0.0039762003360636,0.0105214407560247,0.00909387799591705,0.68678125,0.343696348260869
"prune","p2","P2: C = 3, R = 4",3,4,2000,1e-06,"Brennan-Prediger",8,8,0,0.856,0.861970104016545,0.00597010401654495,0.00664876823886935,0.00235069455412113,0.00862104959826756,0.00863261918524887,0.689265625,11.9402080330899
"prune","p2","P2: C = 3, R = 4",3,4,2000,1e-12,"Conger",8,8,0,0.8464,0.843852542852841,-0.00254745714715897,0.010065797324041,0.00355879677293939,0.00975421853426496,0.00961766075197444,0.686984375,-5.09491429431794
