"target","R","n","coefficient","method","source","reps","valid_reps","coverage","miss_below","miss_above","mean_length","median_length","mean_estimate","bias","zero_disagreement_rate","item_disagreement_rate","mean_loss_units_item","mean_chance_disagreement"
0.8,2,10,"Conger","delta2_fisher","Moss 2024 Fisher transform; second-order delta variance",500,500,0.786,0.026,0.188,0.775771219975585,0.835992626566628,0.787858066225835,-0.0121419337741655,0.178,0.157,0.7844,0.231485
0.8,2,10,"Conger","hurdle_empbern_chance","Wilson hurdle probability; empirical Bernstein severity interval",500,500,1,0,0,1.96971947653136,1.98771392213981,0.787858066225835,-0.0121419337741655,0.178,0.157,0.7844,0.231485
0.8,2,10,"Conger","hurdle_empbern_plug","Wilson hurdle probability; empirical Bernstein severity interval",500,500,0.99,0.01,0,1.71987443316752,1.88367843888313,0.787858066225835,-0.0121419337741655,0.178,0.157,0.7844,0.231485
0.8,2,10,"Conger","hurdle_t_chance","Wilson hurdle probability; t severity interval",500,500,0.996,0,0.004,1.83387615508654,1.98484821317863,0.787858066225835,-0.0121419337741655,0.178,0.157,0.7844,0.231485
0.8,2,10,"Conger","hurdle_t_plug","Wilson hurdle probability; t severity interval",500,500,0.922,0.01,0.068,1.49830370409343,1.6868080467072,0.787858066225835,-0.0121419337741655,0.178,0.157,0.7844,0.231485
0.8,2,10,"Conger","item_empbern_chance","item-level empirical Bernstein mean interval",500,500,1,0,0,2,2,0.787858066225835,-0.0121419337741655,0.178,0.157,0.7844,0.231485
0.8,2,10,"Conger","item_empbern_plug","item-level empirical Bernstein mean interval",500,500,1,0,0,2,2,0.787858066225835,-0.0121419337741655,0.178,0.157,0.7844,0.231485
0.8,2,10,"Conger","item_t_chance","item-level t interval for bounded mean loss",500,500,0.776,0,0.224,1.07366832822974,1.00272425340769,0.787858066225835,-0.0121419337741655,0.178,0.157,0.7844,0.231485
0.8,2,10,"Conger","item_t_plug","item-level t interval for bounded mean loss",500,500,0.628,0,0.372,0.564899824994046,0.380278115118336,0.787858066225835,-0.0121419337741655,0.178,0.157,0.7844,0.231485
0.8,2,10,"Conger","moss_fisher","Moss 2024 Fisher transform",500,500,0.736,0.042,0.222,0.670223494830966,0.684318110620971,0.787858066225835,-0.0121419337741655,0.178,0.157,0.7844,0.231485
0.8,2,20,"Conger","delta2_fisher","Moss 2024 Fisher transform; second-order delta variance",500,500,0.866,0.03,0.104,0.625308462580207,0.6735221524434,0.783909017175625,-0.0160909828243749,0.03,0.1582,0.8033,0.237959375
0.8,2,20,"Conger","hurdle_empbern_chance","Wilson hurdle probability; empirical Bernstein severity interval",500,500,1,0,0,1.87028314866225,1.97640793366719,0.783909017175625,-0.0160909828243749,0.03,0.1582,0.8033,0.237959375
0.8,2,20,"Conger","hurdle_empbern_plug","Wilson hurdle probability; empirical Bernstein severity interval",500,500,1,0,0,1.49186655407008,1.51447873884074,0.783909017175625,-0.0160909828243749,0.03,0.1582,0.8033,0.237959375
0.8,2,20,"Conger","hurdle_t_chance","Wilson hurdle probability; t severity interval",500,500,0.976,0,0.024,1.58889580509491,1.86389553855991,0.783909017175625,-0.0160909828243749,0.03,0.1582,0.8033,0.237959375
0.8,2,20,"Conger","hurdle_t_plug","Wilson hurdle probability; t severity interval",500,500,0.956,0,0.044,1.12364153744694,1.15098722619746,0.783909017175625,-0.0160909828243749,0.03,0.1582,0.8033,0.237959375
0.8,2,20,"Conger","item_empbern_chance","item-level empirical Bernstein mean interval",500,500,1,0,0,1.99957521654911,2,0.783909017175625,-0.0160909828243749,0.03,0.1582,0.8033,0.237959375
0.8,2,20,"Conger","item_empbern_plug","item-level empirical Bernstein mean interval",500,500,1,0,0,1.97043349410737,2,0.783909017175625,-0.0160909828243749,0.03,0.1582,0.8033,0.237959375
0.8,2,20,"Conger","item_t_chance","item-level t interval for bounded mean loss",500,500,0.896,0,0.104,0.825088958081857,0.745401194448385,0.783909017175625,-0.0160909828243749,0.03,0.1582,0.8033,0.237959375
0.8,2,20,"Conger","item_t_plug","item-level t interval for bounded mean loss",500,500,0.768,0,0.232,0.498809007437104,0.464100743888257,0.783909017175625,-0.0160909828243749,0.03,0.1582,0.8033,0.237959375
0.8,2,20,"Conger","moss_fisher","Moss 2024 Fisher transform",500,500,0.852,0.038,0.11,0.589527636583319,0.629319675538077,0.783909017175625,-0.0160909828243749,0.03,0.1582,0.8033,0.237959375
0.8,2,40,"Conger","delta2_fisher","Moss 2024 Fisher transform; second-order delta variance",500,500,0.904,0.042,0.054,0.441178485670793,0.458994509707919,0.788853746331454,-0.011146253668546,0,0.16335,0.8207,0.2442265625
0.8,2,40,"Conger","hurdle_empbern_chance","Wilson hurdle probability; empirical Bernstein severity interval",500,500,1,0,0,1.62779271972424,1.67561651001994,0.788853746331454,-0.011146253668546,0,0.16335,0.8207,0.2442265625
0.8,2,40,"Conger","hurdle_empbern_plug","Wilson hurdle probability; empirical Bernstein severity interval",500,500,1,0,0,1.24199507884484,1.22179300516925,0.788853746331454,-0.011146253668546,0,0.16335,0.8207,0.2442265625
0.8,2,40,"Conger","hurdle_t_chance","Wilson hurdle probability; t severity interval",500,500,0.992,0,0.008,0.983591534656571,0.995654967990227,0.788853746331454,-0.011146253668546,0,0.16335,0.8207,0.2442265625
0.8,2,40,"Conger","hurdle_t_plug","Wilson hurdle probability; t severity interval",500,500,0.988,0,0.012,0.705725189052593,0.720951533705181,0.788853746331454,-0.011146253668546,0,0.16335,0.8207,0.2442265625
0.8,2,40,"Conger","item_empbern_chance","item-level empirical Bernstein mean interval",500,500,1,0,0,1.79731693036289,1.90358679577133,0.788853746331454,-0.011146253668546,0,0.16335,0.8207,0.2442265625
0.8,2,40,"Conger","item_empbern_plug","item-level empirical Bernstein mean interval",500,500,1,0,0,1.40489233528599,1.39105701532363,0.788853746331454,-0.011146253668546,0,0.16335,0.8207,0.2442265625
