"input","method","n","rep","seed","elapsed_sec","ok","error"
"raw","available",250,1,856061,0.00900000000000001,TRUE,""
"raw","ipw",250,1,856061,0.016,TRUE,""
"raw","gwet",250,1,856061,0.00799999999999995,TRUE,""
"raw","fiml",250,1,856061,0.828,TRUE,""
"counts","available",250,1,856061,0,TRUE,""
"counts","fiml",250,1,856061,0.271,TRUE,""
"raw","available",250,2,856062,0.0069999999999999,TRUE,""
"raw","ipw",250,2,856062,0.00700000000000012,TRUE,""
"raw","gwet",250,2,856062,0.0069999999999999,TRUE,""
"raw","fiml",250,2,856062,0.345,TRUE,""
"counts","available",250,2,856062,0,TRUE,""
"counts","fiml",250,2,856062,0.0799999999999996,TRUE,""
"raw","available",250,3,856063,0.00800000000000001,TRUE,""
"raw","ipw",250,3,856063,0.00700000000000012,TRUE,""
"raw","gwet",250,3,856063,0.00799999999999956,TRUE,""
"raw","fiml",250,3,856063,0.613,TRUE,""
"counts","available",250,3,856063,0,TRUE,""
"counts","fiml",250,3,856063,0.372,TRUE,""
"raw","available",500,1,1106061,0.0300000000000002,TRUE,""
"raw","ipw",500,1,1106061,0.0299999999999998,TRUE,""
"raw","gwet",500,1,1106061,0.0300000000000002,TRUE,""
"raw","fiml",500,1,1106061,0.809,TRUE,""
"counts","available",500,1,1106061,0.000999999999999446,TRUE,""
"counts","fiml",500,1,1106061,0.0220000000000002,TRUE,""
"raw","available",500,2,1106062,0.0289999999999999,TRUE,""
"raw","ipw",500,2,1106062,0.0289999999999999,TRUE,""
"raw","gwet",500,2,1106062,0.0310000000000006,TRUE,""
"raw","fiml",500,2,1106062,0.754,TRUE,""
"counts","available",500,2,1106062,0,TRUE,""
"counts","fiml",500,2,1106062,0.0150000000000006,TRUE,""
"raw","available",500,3,1106063,0.0309999999999997,TRUE,""
"raw","ipw",500,3,1106063,0.0289999999999999,TRUE,""
"raw","gwet",500,3,1106063,0.0290000000000008,TRUE,""
"raw","fiml",500,3,1106063,1.204,TRUE,""
"counts","available",500,3,1106063,0.000999999999999446,TRUE,""
"counts","fiml",500,3,1106063,0.048,TRUE,""
"raw","available",1000,1,1606061,0.115,TRUE,""
"raw","ipw",1000,1,1606061,0.115,TRUE,""
"raw","gwet",1000,1,1606061,0.114,TRUE,""
"raw","fiml",1000,1,1606061,1.829,TRUE,""
"counts","available",1000,1,1606061,0,TRUE,""
"counts","fiml",1000,1,1606061,0.0179999999999989,TRUE,""
"raw","available",1000,2,1606062,0.118,TRUE,""
"raw","ipw",1000,2,1606062,0.115,TRUE,""
"raw","gwet",1000,2,1606062,0.115,TRUE,""
"raw","fiml",1000,2,1606062,2.669,TRUE,""
"counts","available",1000,2,1606062,0,TRUE,""
"counts","fiml",1000,2,1606062,0.0839999999999996,TRUE,""
"raw","available",1000,3,1606063,0.113999999999999,TRUE,""
"raw","ipw",1000,3,1606063,0.111999999999998,TRUE,""
"raw","gwet",1000,3,1606063,0.114000000000001,TRUE,""
"raw","fiml",1000,3,1606063,1.495,TRUE,""
"counts","available",1000,3,1606063,0.000999999999999446,TRUE,""
"counts","fiml",1000,3,1606063,0.0250000000000004,TRUE,""
"raw","available",2000,1,2606061,0.463000000000001,TRUE,""
"raw","ipw",2000,1,2606061,0.456,TRUE,""
"raw","gwet",2000,1,2606061,0.452000000000002,TRUE,""
"raw","fiml",2000,1,2606061,3.605,TRUE,""
"counts","available",2000,1,2606061,0.00100000000000122,TRUE,""
"counts","fiml",2000,1,2606061,0.0339999999999989,TRUE,""
"raw","available",2000,2,2606062,0.459,TRUE,""
