"cell","b","kappa_AC","kappa_IPW","delta","se","z","var_AC","var_IPW","cov_AC_IPW","reject_05"
"null",1,0.840805727017714,0.841377312032948,-0.0005715850152338,0.000416996888575204,-1.3707176981267,0.000232706072172484,0.000231725201041226,0.000232128693404314,FALSE
"null",2,0.821775235473088,0.822897119689129,-0.0011218842160412,0.000543884332086568,-2.06272574857449,0.000232707590391321,0.00023053838565928,0.000231475082941956,TRUE
"null",3,0.835060287281933,0.83466102074416,0.000399266537773002,0.00053351524923756,0.748369495236713,0.000221832143683622,0.000223133321818744,0.000222340413490598,FALSE
"null",4,0.836508225388927,0.836536150990223,-2.79256012967188e-05,0.000344329063038294,-0.081101493583808,0.000250655308793351,0.000251498507010616,0.000251017626650157,FALSE
"null",5,0.833185444377708,0.832673889448045,0.000511554929663371,0.000731916373685577,0.69892538007782,0.000221783356991244,0.000223766345158707,0.000222507000285941,FALSE
"null",6,0.841874469986591,0.840920640162626,0.000953829823964525,0.000638444020689365,1.4939913180401,0.000215680017136424,0.000219445503104333,0.000217358954736601,FALSE
"null",7,0.8571394204961,0.857656048626415,-0.000516628130315278,0.000621333507029775,-0.831482809908271,0.000209250409241035,0.000209494813027059,0.000209179583470568,FALSE
"null",8,0.819279046111229,0.818871208071317,0.000407838039911845,0.0005146182133227,0.792506035257838,0.000257961359248846,0.00025984981254219,0.000258773169942777,FALSE
"null",9,0.832830432467821,0.832810728702359,1.97037654617871e-05,0.000459742933653939,0.042858223627682,0.0002230238658056,0.000223233148200823,0.000223022825220689,FALSE
"null",10,0.85070799892709,0.850524587973918,0.000183410953172425,0.000437363373396202,0.419355996246799,0.000218933952253719,0.000219770211816023,0.000219256438674677,FALSE
"null",11,0.80764291502962,0.807406009933959,0.000236905095660989,0.000267659450759275,0.885098938180421,0.000255772839141722,0.000256045227719551,0.000255873212639846,FALSE
"null",12,0.840505147708649,0.83983959258685,0.000665555121799333,0.000468839729371339,1.41957918688283,0.000249801436897423,0.000252370012520244,0.000250975819362915,FALSE
"null",13,0.819891512923044,0.819537620475655,0.000353892447389037,0.000647784665342026,0.546311863066694,0.000255507026789069,0.000257475636521661,0.000256281519169038,FALSE
"null",14,0.829795469102945,0.829637687411161,0.000157781691783487,0.000459928008740248,0.343057367207651,0.000229641123895469,0.000230373827347315,0.00022990170873478,FALSE
"null",15,0.809836375088797,0.809834307151591,2.0679372055854e-06,0.000264903709747568,0.00780637314424922,0.000259027512376533,0.000259154385399545,0.00025905586190032,FALSE
"null",16,0.817708571521406,0.817578641429424,0.000129930091982589,0.000502976789000624,0.258322242345913,0.000268419763952392,0.000269480472738106,0.000268823625520113,FALSE
"null",17,0.848147966518788,0.848825731923739,-0.000677765404951458,0.000373414335612009,-1.81504923703754,0.000233884273990856,0.000231862591446476,0.000232803713585645,FALSE
"null",18,0.850571903912639,0.849728896034414,0.000843007878225666,0.00074362314013685,1.13364933489096,0.000222869757104566,0.000224902150369748,0.000223609466049884,FALSE
"null",19,0.829260854676348,0.8287184203894,0.000542434286947335,0.000270314821016784,2.00667608570991,0.000212949374399561,0.000214361243867851,0.000213618774082475,TRUE
