"index","eigenvalue","relative","contribution_untruncated","contribution_truncated","share_untruncated","cumulative_share_untruncated","retained_at_info_rcond"
1,202113057.559744,1,2.14304111854434e-08,2.14304111854434e-08,3.43385569954802e-12,3.43385569954802e-12,TRUE
2,111170919.671542,0.550043233296194,2.51839743046329e-08,2.51839743046329e-08,4.03529978752693e-12,7.46915548707495e-12,TRUE
3,73539424.0988355,0.363852909785887,3.64870483553588e-08,3.64870483553588e-08,5.84642347132551e-12,1.33155789584005e-11,TRUE
4,67290108.6006428,0.33293300993555,2.80026304082004e-08,2.80026304082004e-08,4.48694106694743e-12,1.78025200253479e-11,TRUE
5,52912648.8331349,0.261797280551723,5.61647483532304e-08,5.61647483532304e-08,8.99943727525964e-12,2.68019573006075e-11,TRUE
6,48648854.9341612,0.24070119724838,8.55975553610293e-08,8.55975553610293e-08,1.37155396039951e-11,4.05174969046026e-11,TRUE
7,48531993.2357773,0.240122997602128,1.56062437096956e-09,1.56062437096956e-09,2.50063278988667e-13,4.07675601835913e-11,TRUE
8,46244308.5640126,0.228804161009453,6.23748703635974e-08,6.23748703635974e-08,9.99450277706728e-12,5.07620629606585e-11,TRUE
9,45413156.9666253,0.22469185076378,1.52419305121009e-07,1.52419305121009e-07,2.44225785068667e-11,7.51846414675252e-11,TRUE
10,44133670.0259696,0.218361300149664,1.67218005238809e-07,1.67218005238809e-07,2.67938162916054e-11,1.01978457759131e-10,TRUE
11,43902905.6597089,0.217219541328898,1.71980485021684e-08,1.71980485021684e-08,2.75569219644221e-12,1.04734149955573e-10,TRUE
12,43808025.6092559,0.216750100850393,5.49698207487005e-09,5.49698207487005e-09,8.80797062863975e-13,1.05614947018437e-10,TRUE
13,43473964.873532,0.215097259911974,2.30844111457757e-08,2.30844111457757e-08,3.69888081463760e-12,1.09313827833074e-10,TRUE
14,43460720.7392616,0.215031731566451,4.53966026334845e-08,4.53966026334845e-08,7.2740266784518e-12,1.16587854511526e-10,TRUE
15,43150043.9399884,0.21349458793494,2.52639507672187e-09,2.52639507672187e-09,4.04811464345776e-13,1.16992665975872e-10,TRUE
16,42400843.3027581,0.209787748573466,1.84224924247767e-08,1.84224924247767e-08,2.95188832660706e-12,1.19944554302479e-10,TRUE
17,41862814.921538,0.207125731642368,2.60554766022127e-08,2.60554766022127e-08,4.17494307788743e-12,1.24119497380366e-10,TRUE
18,41176596.8399766,0.203730512699828,3.64251739356105e-08,3.64251739356105e-08,5.83650915717305e-12,1.2995600653754e-10,TRUE
19,40417272.0138208,0.199973581627073,2.56836855379788e-08,2.56836855379788e-08,4.11536993886022e-12,1.340713764764e-10,TRUE
20,40158546.1945686,0.19869347720247,2.36246161802611e-08,2.36246161802611e-08,3.78543940282989e-12,1.3785681587923e-10,TRUE
21,39305637.0200254,0.194473516429816,4.53695799045459e-08,4.53695799045459e-08,7.26969674978268e-12,1.45126512629012e-10,TRUE
22,38908475.7026113,0.192508471112066,2.2827346885635e-08,2.2827346885635e-08,3.65769067753777e-12,1.4878420330655e-10,TRUE
23,38437073.8478077,0.190176103968175,1.49350620154872e-08,1.49350620154872e-08,2.39308743920971e-12,1.5117729074576e-10,TRUE
24,36287166.538406,0.179538951993141,1.31448716195105e-07,1.31448716195105e-07,2.10624014349956e-11,1.72239692180755e-10,TRUE
25,35946768.6855632,0.177854756736523,8.99807522326385e-09,8.99807522326385e-09,1.44178716978393e-12,1.73681479350539e-10,TRUE
26,35833749.3005561,0.177295567803499,7.05083729969404e-09,7.05083729969404e-09,1.12977570232464e-12,1.74811255052864e-10,TRUE
27,33923724.1623034,0.167845287048194,2.02349948373477e-07,2.02349948373477e-07,3.24231074015734e-11,2.07234362454437e-10,TRUE
28,33701810.5738197,0.16674731944945,2.85247672724077e-09,2.85247672724077e-09,4.57060454085783e-13,2.07691422908523e-10,TRUE
29,33576835.9045991,0.166128979047649,2.0615176194128e-08,2.0615176194128e-08,3.30322827960841e-12,2.10994651188132e-10,TRUE
30,33496606.8722506,0.165732027790184,7.26997368853826e-09,7.26997368853826e-09,1.1648885487978e-12,2.12159539736929e-10,TRUE
31,32784670.5190876,0.162209561890362,6.7484384779625e-08,6.7484384779625e-08,1.08132147955897e-11,2.22972754532519e-10,TRUE
32,32142574.7171513,0.159032647891391,3.7884990555865e-08,3.7884990555865e-08,6.07041972372162e-12,2.29043174256241e-10,TRUE
33,31698406.3879564,0.156835024766208,3.85044576724886e-08,3.85044576724886e-08,6.16967870063501e-12,2.35212852956876e-10,TRUE
34,31429140.636277,0.155502771645452,1.811477348291e-08,1.811477348291e-08,2.90258164586984e-12,2.38115434602746e-10,TRUE
35,29967059.8296961,0.148268796640404,1.90449660462811e-07,1.90449660462811e-07,3.0516290443434e-11,2.6863172504618e-10,TRUE
36,28698229.1392022,0.141990970230704,4.02649724786025e-07,4.02649724786025e-07,6.45177099222945e-11,3.33149434968474e-10,TRUE
37,28318934.5830458,0.140114324749527,1.83306442019874e-07,1.83306442019874e-07,2.9371712247937e-11,3.62521147216411e-10,TRUE
38,28040250.3588323,0.138735471608724,3.73939184000173e-08,3.73939184000173e-08,5.99173383633219e-12,3.68512881052743e-10,TRUE
39,27656328.7038373,0.136835932511001,7.41634994843409e-09,7.41634994843409e-09,1.18834283299106e-12,3.69701223885734e-10,TRUE
40,27527341.9363934,0.136197741347099,2.95652577974133e-08,2.95652577974133e-08,4.73732529524275e-12,3.74438549180977e-10,TRUE
41,27373345.4018218,0.135435808711816,1.67043954472256e-09,1.67043954472256e-09,2.67659276425465e-13,3.74706208457403e-10,TRUE
42,27252537.5967168,0.134838084811324,2.11947362852515e-09,2.11947362852515e-09,3.39609284039139e-13,3.75045817741442e-10,TRUE
43,26975754.6440824,0.133468638641066,2.12907154418617e-08,2.12907154418617e-08,3.41147185347294e-12,3.78457289594915e-10,TRUE
44,26604516.0081592,0.131631851644691,5.2394267323524e-08,5.2394267323524e-08,8.39528238238995e-12,3.86852571977305e-10,TRUE
45,26419408.4097182,0.130715989994405,1.17833426820351e-08,1.17833426820351e-08,1.88807849174251e-12,3.88740650469047e-10,TRUE
46,26333458.10165,0.130290731433153,2.8219999652738e-10,2.8219999652738e-10,4.52177075886528e-14,3.88785868176636e-10,TRUE
47,26221702.5211191,0.129737795458208,2.11043322290537e-08,2.11043322290537e-08,3.38160714149599e-12,3.92167475318132e-10,TRUE
48,26110590.8155745,0.129188045200178,8.53725126932891e-09,8.53725126932891e-09,1.3679480377666e-12,3.93535423355898e-10,TRUE
49,25384939.5290863,0.125597721570179,8.88364111237642e-08,8.88364111237642e-08,1.42345106692089e-11,4.07769934025107e-10,TRUE
