"dgp","dgp_label","family","p","mechanism","n","rep","seed","method","truth","estimate","bias","se","elapsed_ms","em_iter","observed_fraction","complete_rows","min_pair_count","error"
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,1,21200621,"pairwise",0.707836900907317,0.692206200949256,-0.0156306999580603,0.0604932545548235,0,NA,0.748333333333333,16,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,1,21200621,"cat_fiml",0.707836900907317,0.712180625773951,0.00434372486663426,0.0614266097339623,6.00000000000001,NA,0.748333333333333,16,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,1,21200621,"normal_fiml",0.707836900907317,0.724646586112783,0.016809685205466,0.0517122675917776,165,43,0.748333333333333,16,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,1,21200621,"listwise",0.707836900907317,0.500400962309543,-0.207435938597774,0.227110227750051,0,NA,0.748333333333333,16,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,2,21200622,"pairwise",0.707836900907317,0.607608745328518,-0.100228155578799,0.0712235757301869,1,NA,0.768333333333333,23,49,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,2,21200622,"cat_fiml",0.707836900907317,0.539617314074204,-0.168219586833113,0.0764247103467568,2.99999999999995,NA,0.768333333333333,23,49,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,2,21200622,"normal_fiml",0.707836900907317,0.622500874834704,-0.0853360260726131,0.0652824583841197,130,38,0.768333333333333,23,49,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,2,21200622,"listwise",0.707836900907317,0.573876404494382,-0.133960496412935,0.116944206671542,3,NA,0.768333333333333,23,49,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,3,21200623,"pairwise",0.707836900907317,0.596796133555872,-0.111040767351445,0.0645559317676104,0,NA,0.753333333333333,20,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,3,21200623,"cat_fiml",0.707836900907317,0.574606869616759,-0.133230031290558,0.0820343393901404,1,NA,0.753333333333333,20,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,3,21200623,"normal_fiml",0.707836900907317,0.618322594110672,-0.0895143067966452,0.0647341758863739,153,45,0.753333333333333,20,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,3,21200623,"listwise",0.707836900907317,0.638457831325301,-0.0693790695820157,0.111897736598933,1,NA,0.753333333333333,20,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,4,21200624,"pairwise",0.707836900907317,0.651028560481513,-0.0568083404258042,0.0646044837973052,0,NA,0.736666666666667,16,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,4,21200624,"cat_fiml",0.707836900907317,0.632542104931963,-0.0752947959753539,0.0732252359195233,2,NA,0.736666666666667,16,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,4,21200624,"normal_fiml",0.707836900907317,0.659754945688772,-0.0480819552185444,0.0579634425330475,155,46,0.736666666666667,16,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,4,21200624,"listwise",0.707836900907317,0.598119122257053,-0.109717778650263,0.119310027213621,0,NA,0.736666666666667,16,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,5,21200625,"pairwise",0.707836900907317,0.690649082458997,-0.0171878184483201,0.0548647221516559,0,NA,0.765,18,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,5,21200625,"cat_fiml",0.707836900907317,0.678483952493334,-0.0293529484139827,0.0559169519388842,3,NA,0.765,18,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,5,21200625,"normal_fiml",0.707836900907317,0.732209379380932,0.0243724784736155,0.0449797141844456,182,75,0.765,18,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,5,21200625,"listwise",0.707836900907317,0.722424242424242,0.0145873415169255,0.116130876277599,1.00000000000011,NA,0.765,18,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,6,21200626,"pairwise",0.707836900907317,0.698662481163094,-0.0091744197442224,0.0472539116398749,0,NA,0.768333333333333,24,46,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,6,21200626,"cat_fiml",0.707836900907317,0.682546847134167,-0.0252900537731495,0.0502366246632915,1.00000000000011,NA,0.768333333333333,24,46,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,6,21200626,"normal_fiml",0.707836900907317,0.718877983072533,0.0110410821652162,0.045260136639791,139,38,0.768333333333333,24,46,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,6,21200626,"listwise",0.707836900907317,0.738317270122428,0.0304803692151109,0.065568935367496,0,NA,0.768333333333333,24,46,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,7,21200627,"pairwise",0.707836900907317,0.750445589165651,0.0426086882583346,0.0490108225171656,0,NA,0.745,19,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,7,21200627,"cat_fiml",0.707836900907317,0.718972183653148,0.0111352827458309,0.0613746725854204,16.9999999999999,NA,0.745,19,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,7,21200627,"normal_fiml",0.707836900907317,0.749274946596459,0.0414380456891424,0.0424730887893969,200,71,0.745,19,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,7,21200627,"listwise",0.707836900907317,0.808713984539705,0.100877083632388,0.0664454460090614,0,NA,0.745,19,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,8,21200628,"pairwise",0.707836900907317,0.581609226188083,-0.126227674719233,0.0662214764703433,0,NA,0.761666666666667,14,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,8,21200628,"cat_fiml",0.707836900907317,0.59785592454429,-0.109980976363027,0.0622341460973386,2.99999999999989,NA,0.761666666666667,14,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,8,21200628,"normal_fiml",0.707836900907317,0.609765519330652,-0.0980713815766645,0.0661586533566851,165,55,0.761666666666667,14,42,""
