"dgp","dgp_label","family","p","categories","mechanism","n","rep","seed","method","truth","estimate","bias","se","elapsed_ms","em_iter","observed_fraction","complete_rows","min_pair_count","error"
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,1,1181801,"pairwise",0.707836900907317,0.597052384518805,-0.110784516388512,0.070813088055378,0,NA,0.75,35,46,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,1,1181801,"cat_em",0.707836900907317,0.574181311235891,-0.133655589671426,0.10056040586277,4,NA,0.75,35,46,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,1,1181801,"normal_fiml",0.707836900907317,0.634895294351599,-0.0729416065557178,0.0715128275925405,201,68,0.75,35,46,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,1,1181801,"listwise",0.707836900907317,0.475541795665634,-0.232295105241682,0.131123701679436,1,NA,0.75,35,46,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,2,1181802,"pairwise",0.707836900907317,0.730609842851088,0.0227729419437709,0.0515455353133122,1,NA,0.75,33,50,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,2,1181802,"cat_em",0.707836900907317,0.739948998993263,0.0321120980859458,0.0519799580767806,3,NA,0.75,33,50,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,2,1181802,"normal_fiml",0.707836900907317,0.762965957544983,0.0551290566376658,0.0478613593184833,131,42,0.75,33,50,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,2,1181802,"listwise",0.707836900907317,0.758849171752398,0.0510122708450809,0.0759888242051214,4,NA,0.75,33,50,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,3,1181803,"pairwise",0.707836900907317,0.683738429458021,-0.0240984714492962,0.0474103207406323,0,NA,0.761666666666667,34,53,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,3,1181803,"cat_em",0.707836900907317,0.70630045959552,-0.00153644131179664,0.0570051757960463,4,NA,0.761666666666667,34,53,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,3,1181803,"normal_fiml",0.707836900907317,0.728766842870262,0.0209299419629451,0.0459611005419167,116,35,0.761666666666667,34,53,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,3,1181803,"listwise",0.707836900907317,0.651665861902463,-0.0561710390048542,0.0897682905897411,0,NA,0.761666666666667,34,53,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,4,1181804,"pairwise",0.707836900907317,0.634216582582128,-0.0736203183251891,0.0736560974244691,0,NA,0.731666666666667,32,48,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,4,1181804,"cat_em",0.707836900907317,0.613591521896846,-0.0942453790104706,0.0800207260314376,7.00000000000001,NA,0.731666666666667,32,48,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,4,1181804,"normal_fiml",0.707836900907317,0.649463381687464,-0.0583735192198529,0.0669714078542084,136,43,0.731666666666667,32,48,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mar_anchor30",100,4,1181804,"listwise",0.707836900907317,0.633213515456506,-0.0746233854508107,0.0965389784290864,0,NA,0.731666666666667,32,48,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,1,2181801,"pairwise",0.707836900907317,0.823378191200711,0.115541290293394,0.0329468168431726,0,NA,0.768333333333333,19,45,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,1,2181801,"cat_em",0.707836900907317,0.764668786601267,0.0568318856939505,0.122313417860116,6.00000000000001,NA,0.768333333333333,19,45,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,1,2181801,"normal_fiml",0.707836900907317,0.816465686826087,0.10862878591877,0.0292659772018565,112,41,0.768333333333333,19,45,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,1,2181801,"listwise",0.707836900907317,0.83582395087001,0.127987049962693,0.0656069705854597,0,NA,0.768333333333333,19,45,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,2,2181802,"pairwise",0.707836900907317,0.647283949063695,-0.0605529518436216,0.0591134955941955,0,NA,0.716666666666667,12,38,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,2,2181802,"cat_em",0.707836900907317,0.598785305410099,-0.109051595497217,0.0667635036962048,3,NA,0.716666666666667,12,38,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,2,2181802,"normal_fiml",0.707836900907317,0.650523040867243,-0.0573138600400735,0.0562769604453106,161,60,0.716666666666667,12,38,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,2,2181802,"listwise",0.707836900907317,0.70229746070133,-0.00553944020598673,0.106621168631724,0,NA,0.716666666666667,12,38,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,3,2181803,"pairwise",0.707836900907317,0.694777544148474,-0.0130593567588426,0.053924355103691,0,NA,0.751666666666667,18,44,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,3,2181803,"cat_em",0.707836900907317,0.617636203058399,-0.0902006978489175,0.0650908032041235,2,NA,0.751666666666667,18,44,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,3,2181803,"normal_fiml",0.707836900907317,0.689517738773938,-0.0183191621333784,0.0513164863982433,145,51,0.751666666666667,18,44,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,3,2181803,"listwise",0.707836900907317,0.661818181818182,-0.046018719089135,0.103747141085271,0,NA,0.751666666666667,18,44,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,4,2181804,"pairwise",0.707836900907317,0.690949062158084,-0.0168878387492328,0.0511659026008721,0,NA,0.803333333333333,26,52,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,4,2181804,"cat_em",0.707836900907317,0.654502267536961,-0.0533346333703559,0.0517215979989932,2,NA,0.803333333333333,26,52,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,4,2181804,"normal_fiml",0.707836900907317,0.709667039254278,0.00183013834696166,0.0485202170491506,115,32,0.803333333333333,26,52,""
"ordinal_congeneric6","Congeneric ordinal, 6 items","congeneric",6,3,"mcar30",100,4,2181804,"listwise",0.707836900907317,0.769321001579066,0.0614841006717493,0.0670551933241698,0,NA,0.803333333333333,26,52,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,1,3181801,"pairwise",0.830494726795803,0.795650959902108,-0.0348437668936944,0.0317425652978039,0,NA,0.728333333333333,31,47,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,1,3181801,"cat_em",0.830494726795803,0.810263609968069,-0.0202311168277336,0.0288911758365893,1.00000000000011,NA,0.728333333333333,31,47,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,1,3181801,"normal_fiml",0.830494726795803,0.843637773712417,0.0131430469166144,0.0304305356782131,134,54,0.728333333333333,31,47,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,1,3181801,"listwise",0.830494726795803,0.819031719532554,-0.0114630072632484,0.0425967921245796,0,NA,0.728333333333333,31,47,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,2,3181802,"pairwise",0.830494726795803,0.783635970317895,-0.0468587564779073,0.030560780181793,0,NA,0.74,36,49,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,2,3181802,"cat_em",0.830494726795803,0.813755170830757,-0.0167395559650456,0.0299275558192069,6.00000000000001,NA,0.74,36,49,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,2,3181802,"normal_fiml",0.830494726795803,0.83337658995565,0.00288186315984706,0.0289250334959907,132,54,0.74,36,49,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,2,3181802,"listwise",0.830494726795803,0.752112676056338,-0.0783820507394648,0.0560169772602673,0,NA,0.74,36,49,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,3,3181803,"pairwise",0.830494726795803,0.763704709451254,-0.0667900173445485,0.0379270943334136,0,NA,0.748333333333333,29,47,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,3,3181803,"cat_em",0.830494726795803,0.812888046876028,-0.017606679919775,0.0346858468632533,14,NA,0.748333333333333,29,47,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,3,3181803,"normal_fiml",0.830494726795803,0.820547611594095,-0.00994711520170788,0.0323254267596244,114,44,0.748333333333333,29,47,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,3,3181803,"listwise",0.830494726795803,0.791811668372569,-0.0386830584232336,0.0600301987286974,0,NA,0.748333333333333,29,47,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,4,3181804,"pairwise",0.830494726795803,0.778775806791985,-0.0517189200038175,0.0354905958042048,0,NA,0.745,35,49,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,4,3181804,"cat_em",0.830494726795803,0.854356318881353,0.0238615920855503,0.0809659053765748,0.99999999999989,NA,0.745,35,49,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,4,3181804,"normal_fiml",0.830494726795803,0.85762646626376,0.0271317394679569,0.0253695023305657,125,49,0.745,35,49,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mar_anchor30",100,4,3181804,"listwise",0.830494726795803,0.746322580645161,-0.0841721461506414,0.0768540292246185,2,NA,0.745,35,49,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,1,4181801,"pairwise",0.830494726795803,0.846270696839824,0.0157759700440215,0.0295165374811822,0,NA,0.751666666666667,20,42,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,1,4181801,"cat_em",0.830494726795803,0.811678005990331,-0.0188167208054717,0.0338927467231336,3.00000000000011,NA,0.751666666666667,20,42,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,1,4181801,"normal_fiml",0.830494726795803,0.83202534423169,0.00153061743588745,0.0270526695288141,116,47,0.751666666666667,20,42,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,1,4181801,"listwise",0.830494726795803,0.87219512195122,0.0417003951554168,0.051105262060143,0.99999999999989,NA,0.751666666666667,20,42,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,2,4181802,"pairwise",0.830494726795803,0.847432648646717,0.0169379218509146,0.0228875196916143,0,NA,0.776666666666667,16,46,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,2,4181802,"cat_em",0.830494726795803,0.821946449056029,-0.00854827773977362,0.0281685410822279,2.00000000000022,NA,0.776666666666667,16,46,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,2,4181802,"normal_fiml",0.830494726795803,0.855974161052848,0.0254794342570456,0.0229633100323012,116,49,0.776666666666667,16,46,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,2,4181802,"listwise",0.830494726795803,0.865727699530516,0.0352329727347137,0.0322679368083692,0,NA,0.776666666666667,16,46,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,3,4181803,"pairwise",0.830494726795803,0.80192082781149,-0.0285738989843123,0.0359834782545237,0.99999999999989,NA,0.73,17,42,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,3,4181803,"cat_em",0.830494726795803,0.796585928858433,-0.0339087979373697,0.0318440021561915,2.00000000000022,NA,0.73,17,42,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,3,4181803,"normal_fiml",0.830494726795803,0.812113994706169,-0.0183807320896333,0.0307942856277257,159,68,0.73,17,42,""
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,3,4181803,"listwise",0.830494726795803,0.820496397117694,-0.00999832967810843,0.0723496066842756,0,NA,0.73,17,42,""
