"dgp","method","kappa","weight","n_mod","bias_mod","sd_mod","n_big","bias_big","sd_big","truth"
"A","available","Conger","identity",200,0.000598972660444508,0.0222642336969193,1000,-0.00269268475527606,0.00878315786240441,0.842903077805694
"A","available","Fleiss","identity",200,0.000540421165139859,0.02228055865299,1000,-0.00270727326040787,0.00878845112432824,0.842901852419353
"A","available","Brennan-Prediger","identity",200,0.00124124314688934,0.0215967607894493,1000,-0.00316070679701708,0.00858511527417315,0.846866666666667
"A","ipw","Conger","identity",200,0.000528347380797212,0.025493499507812,1000,-0.00132345638314368,0.0100621776754308,0.842903077805694
"A","ipw","Fleiss","identity",200,0.000426889652823226,0.025509527869235,1000,-0.00134096169015674,0.0100620943711764,0.842901852419353
"A","ipw","Brennan-Prediger","identity",200,0.00128277786862963,0.0245854982082291,1000,-0.00185184615937928,0.0100117184261839,0.846866666666667
"A","fiml","Conger","identity",200,-0.0208726127247861,0.0263382066190258,1000,-0.0146753589573886,0.0078430147697702,0.842903077805694
"A","fiml","Fleiss","identity",200,-0.0209239081813254,0.0263642133091662,1000,-0.014683366031796,0.00784324370456095,0.842901852419353
"A","fiml","Brennan-Prediger","identity",200,-0.019474904680146,0.0258370317973481,1000,-0.0148154152382856,0.00768110229571851,0.846866666666667
"A","gwet","Conger","identity",200,0.000520973090979426,0.0222394107813989,1000,-0.00266898469521881,0.00874297086337182,0.842903077805694
"A","gwet","Fleiss","identity",200,0.000419400451053598,0.0222538633648372,1000,-0.00268666890791558,0.00874293155770763,0.842901852419353
"A","gwet","Brennan-Prediger","identity",200,0.00124124314688934,0.0215967607894493,1000,-0.00316070679701708,0.00858511527417315,0.846866666666667
"B","available","Conger","identity",200,0.103865486845729,0.0268973778584281,1000,0.108432703001635,0.0107704643637225,0.693424604203283
"B","available","Fleiss","identity",200,0.10368367673881,0.0269633517320166,1000,0.108388283265516,0.010794067868102,0.693382289461776
"B","available","Brennan-Prediger","identity",200,0.102444918741512,0.0265819886790656,1000,0.106127049049973,0.0100493887683725,0.6998
"B","ipw","Conger","identity",200,-0.0120271782734915,0.0526253392517566,1000,-0.00165433412259608,0.0230797086993263,0.693424604203283
"B","ipw","Fleiss","identity",200,-0.0125669526336266,0.0527109790780862,1000,-0.00176378952740186,0.0231054477353176,0.693382289461776
"B","ipw","Brennan-Prediger","identity",200,-0.0116103131888327,0.0513777714364397,1000,-0.00250691851936513,0.0220108704635833,0.6998
"B","fiml","Conger","identity",200,-0.0321915502753932,0.0459386492732917,1000,-0.0125355851091183,0.016258346987276,0.693424604203283
"B","fiml","Fleiss","identity",200,-0.0326218822322293,0.0460378596040281,1000,-0.0126133604341337,0.0162773716249422,0.693382289461776
"B","fiml","Brennan-Prediger","identity",200,-0.0314297066435061,0.0449104261177743,1000,-0.0134200249422133,0.0153479422467715,0.6998
"B","gwet","Conger","identity",200,0.104575949327803,0.0267801458309831,1000,0.108975217673162,0.0105321488811879,0.693424604203283
"B","gwet","Fleiss","identity",200,0.104249686743323,0.0268218626833753,1000,0.108920041800587,0.0105527919993016,0.693382289461776
"B","gwet","Brennan-Prediger","identity",200,0.102444918741512,0.0265819886790656,1000,0.106127049049973,0.0100493887683725,0.6998
"C","available","Conger","identity",200,0.125664404812093,0.0232518521837031,1000,0.127587747406232,0.0138899410186612,0.66103416101867
"C","available","Fleiss","identity",200,0.125562858495692,0.0232834653174559,1000,0.127581673711433,0.0138956302468548,0.661015384333468
"C","available","Brennan-Prediger","identity",200,0.127629278779074,0.0228081417280546,1000,0.128720488068718,0.0137788836352077,0.66445
"C","ipw","Conger","identity",200,0.125913042667278,0.0234969078392186,1000,0.127694902114901,0.0139038612911018,0.66103416101867
"C","ipw","Fleiss","identity",200,0.125806199759118,0.0235273609681197,1000,0.127688060099674,0.0139092799399849,0.661015384333468
"C","ipw","Brennan-Prediger","identity",200,0.127885970198551,0.0230551441562641,1000,0.128829793469814,0.0137927203300706,0.66445
"C","fiml","Conger","identity",200,0.0194212816159143,0.0303901029474333,1000,0.0348459255015462,0.01756847817432,0.66103416101867
"C","fiml","Fleiss","identity",200,0.0192407460684253,0.0304391808823545,1000,0.0348203478905723,0.0175714098583858,0.661015384333468
"C","fiml","Brennan-Prediger","identity",200,0.0215226770648309,0.0288432707983574,1000,0.0362258773325971,0.0169049316204146,0.66445
"C","gwet","Conger","identity",200,0.125649292073986,0.0232449496873573,1000,0.127583144155859,0.0138903960924932,0.66103416101867
"C","gwet","Fleiss","identity",200,0.125542309913629,0.0232753107111108,1000,0.127576291844098,0.0138957646446808,0.661015384333468
"C","gwet","Brennan-Prediger","identity",200,0.127629278779074,0.0228081417280546,1000,0.128720488068718,0.0137788836352077,0.66445
