"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.95,0.95,0.95,0.93,0.92,0.92,0.37,0.37,0.39
"2",0.27,0.27,0.3,0.29,0.29,0.32,0.36,0.36,0.34
"3",0.95,0.95,0.94,0.92,0.92,0.91,0.37,0.37,0.39
"4",0.27,0.28,0.31,0.3,0.3,0.34,0.36,0.37,0.36
"5",0.95,0.95,0.94,0.92,0.92,0.91,0.37,0.37,0.38
"6",0.27,0.27,0.3,0.29,0.3,0.33,0.36,0.36,0.34
"7",0.96,0.95,0.9,0.96,0.95,0.91,0.94,0.94,0.87
"8",0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26
"9",0.88,0.85,0.72,0.69,0.67,0.55,0.04,0.04,0.06
"10",0.29,0.3,0.34,0.32,0.32,0.35,0.26,0.26,0.25
"11",0.95,0.95,0.95,0.85,0.85,0.84,0.09,0.09,0.13
"12",0.11,0.11,0.12,0.12,0.12,0.14,0.18,0.18,0.18
"13",0.95,0.95,0.95,0.85,0.84,0.82,0.09,0.09,0.12
"14",0.11,0.11,0.13,0.12,0.12,0.14,0.18,0.18,0.19
"15",0.95,0.95,0.95,0.85,0.85,0.83,0.09,0.09,0.12
"16",0.11,0.11,0.13,0.12,0.12,0.14,0.18,0.18,0.18
"17",0.92,0.89,0.64,0.91,0.87,0.65,0.86,0.81,0.58
"18",0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1
"19",0.81,0.7,0.28,0.34,0.28,0.15,0,0,0.01
"20",0.12,0.12,0.14,0.13,0.13,0.15,0.12,0.12,0.11
