Image,Worker,Mturk_Positive,Mturk_Smile
1,57,4,4
1,19,4,6
1,42,5,6
1,82,4,4
1,52,3,3
2,34,4,5
2,8,4,5
2,47,5,5
2,115,6,5
2,48,6,5
3,97,4,6
3,101,6,6
3,113,5,6
3,58,6,6
3,72,6,6
4,2,5,6
4,107,6,6
4,13,5,6
4,23,5,5
4,114,4,5
5,115,5,5
5,14,5,5
5,107,5,5
5,80,4,5
5,96,4,5
6,48,6,5
6,59,5,6
6,101,6,6
6,63,5,6
6,72,6,6
7,63,3,3
7,22,3,3
7,65,3,3
7,6,3,5
7,16,5,6
8,52,4,4
8,76,5,5
8,110,4,5
8,24,5,5
8,89,5,5
9,98,6,6
9,93,4,4
9,8,4,4
9,114,4,6
9,71,6,6
10,59,1,1
10,119,2,3
10,65,3,3
10,89,2,1
10,114,1,3
11,110,5,5
11,114,5,6
11,42,6,6
11,104,6,6
11,80,6,6
12,84,5,5
12,114,4,4
12,18,4,5
12,59,4,5
12,48,3,5
13,26,4,4
13,35,4,5
13,39,5,5
13,10,2,2
13,8,4,6
14,16,6,6
14,84,5,6
14,59,5,6
14,80,6,6
14,57,6,6
15,42,6,6
15,121,5,5
15,34,3,4
15,115,4,4
15,48,2,3
16,82,5,5
16,120,5,6
16,80,6,6
16,12,3,5
16,20,4,5
17,84,4,4
17,76,3,3
17,82,2,2
17,12,2,2
17,29,4,2
18,107,6,5
18,81,5,6
18,42,6,6
18,66,5,5
18,52,4,5
19,52,4,5
19,82,5,5
19,76,4,4
19,73,5,6
19,84,5,6
20,120,5,5
20,66,4,5
20,80,5,5
20,63,4,4
20,93,5,4
21,21,3,3
21,14,3,3
21,66,4,5
21,39,5,5
21,33,3,5
22,79,5,6
22,71,6,6
22,26,4,6
22,57,5,6
22,110,4,5
23,82,5,5
23,100,3,5
23,2,5,5
23,5,5,5
23,59,4,5
24,112,5,6
24,2,6,6
24,63,4,6
24,107,5,6
24,57,6,6
25,54,5,5
25,23,5,5
25,48,5,5
25,94,5,6
25,17,5,6
26,44,3,4
26,121,5,4
26,93,1,3
26,69,2,3
26,112,2,2
27,119,3,3
27,54,3,4
27,80,4,4
27,40,3,3
27,79,3,2
28,54,5,6
28,42,5,6
28,80,4,4
28,95,5,4
28,52,4,4
29,22,3,3
29,10,3,4
29,63,2,4
29,33,3,3
29,114,3,3
30,29,5,4
30,22,4,5
30,117,6,6
30,110,6,6
30,71,6,6
31,63,4,6
31,58,5,6
31,18,5,5
31,33,6,5
31,22,3,5
32,63,3,5
32,121,5,5
32,104,5,5
32,81,4,5
32,114,3,4
33,110,6,6
33,44,4,6
33,43,6,6
33,40,6,6
33,76,6,5
34,80,3,3
34,51,2,4
34,96,4,5
34,72,5,5
34,63,2,2
35,81,5,6
35,38,6,6
35,12,4,4
35,22,5,5
35,19,5,5
36,114,4,4
36,63,4,6
36,107,5,6
36,48,4,4
36,65,3,5
37,19,3,5
37,35,5,5
37,48,2,4
37,53,4,4
37,46,3,5
38,6,5,5
38,12,2,4
38,63,4,4
38,20,4,5
38,42,5,5
39,43,4,5
39,18,3,4
39,81,4,5
39,1,5,5
39,110,3,4
40,48,4,4
40,63,5,4
